S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,4998920.0,Core Wood Infratech,INR,"24,282,816.49",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,2025_UPPRC_1006317_2,18/PCL/GM/ZONE-2/BLY/2024-25,"CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, JUNAWAI DISTT- SAMBHAL (U.P)",1,4998920,Core Wood Infratech,25-Feb-2025 04:24 PM,Accepted-AOC,Work Awarded to M/S Core Wood Infratech,26-Sep-2025 03:36 PM,27-Sep-2025,"INR 24,282,816.49",540.0,Rajeev Kumar Pandey,26-Sep-2025 03:36 PM,AG2.pdf (669.00 KB),General Manager,Internal,,Rajeev Kumar Pandey,06-Mar-2025 12:57 PM,07-Mar-2025 03:00 PM,techsummary_1801555.pdf (1001.18 KB),Finance,Financial summary,Rajeev Kumar Pandey,26-Sep-2025 03:32 PM,finance_1801555.pdf,BOQ Comparative Chart,General Manager,Internal,,Rajeev Kumar Pandey,26-Sep-2025 03:34 PM,finsummary_1801555.pdf (1001.18 KB),Technical,Comparative,Rajeev Kumar Pandey,06-Mar-2025 12:46 PM,technical_1801555.pdf,AOC,General manager,"General Manager, Zone-2, U.P. Projects Corporation Ltd. 14, Chandra Shekar Nagar Colony, Tulasherpur, Bareilly","17,700","Project Manager, U.P. Projects Corporation Ltd",Moradabad,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,18/PCL/GM/ZONE-2/BLY/2024-25,2025_UPPRC_1006317_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,17-Feb-2025 10:00 AM,27-Feb-2025 03:00 PM,17-Feb-2025 10:00 AM,27-Feb-2025 01:00 PM,NA ,NA ,17-Feb-2025 10:00 AM,27-Feb-2025 01:00 PM,07-Mar-2025 03:00 PM,"4,88,000",No,fixed,,"Project Manager, U.P. Projects Corporation Ltd",Moradabad,1.0,FDR - Fixed Deposit,"CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, JUNAWAI DISTT- SAMBHAL (U.P)","CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, JUNAWAI DISTT- SAMBHAL (U.P)","CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, JUNAWAI DISTT- SAMBHAL (U.P) ",NA ,"2,44,00,000",Civil Works,NA ,Tender,540.0,540.0,bareilly,243122.0,NA ,NA ,NA ,BAREILLY,No ,No,AOC
,,,,,,,,,2,4977735,M/S CLASSIC CONSTRUCTION,19-Feb-2025 06:10 PM,Rejected-Finance,Being II lowest,26-Sep-2025 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,4999309,TIRUPATI ENTERPRISES,25-Feb-2025 07:17 PM,Rejected-Finance,Being III lowest,26-Sep-2025 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
