Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,44/E-TENDER/MEERUT-ZONE/24-25 DATED 18-02-2025,2025_UPRNS_1010069_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,FDR - Fixed Deposit,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut","1,02,340",No,fixed,,EE UPRNSS,SAHARANPUR,15-Apr-2025 06:30 PM,21-Apr-2025 03:00 PM,15-Apr-2025 06:30 PM,21-Apr-2025 03:00 PM,NA ,NA ,15-Apr-2025 06:30 PM,21-Apr-2025 03:00 PM,23-Apr-2025 06:20 PM,1,Fee/PreQual/Technical,.pdf,TECHNICAL,"1,947",EE UPRNSS,SAHARANPUR,No,PROPOSED CONSTRUCTION OF BRICK DRAINS INSIDE OF SUB KARAGAR AT DEOBAND DISTRICT- SAHARANPUR (U.P.),PROPOSED CONSTRUCTION OF BRICK DRAINS INSIDE OF SUB KARAGAR AT DEOBAND DISTRICT- SAHARANPUR (U.P.),Please refer Tender documents. ,NA ,"51,17,005",Civil Works - Buildings,NA ,Tender,90.0,182.0,"DEOBAND, SAHARANPUR",247554.0,NA ,NA ,NA ,MEERUT,No ,No,AOC,Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,24-Apr-2025 03:36 PM,finance_1859481.pdf,BOQ Comparative Chart,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,23-Apr-2025 06:03 PM,23-Apr-2025 06:20 PM,techsummary_1859481.pdf (530.02 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,23-Apr-2025 06:00 PM,technical_1859481.pdf,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,24-Apr-2025 03:46 PM,finsummary_1859481.pdf (529.69 KB),02-May-2025,"INR 5,111,888.43",182.0,Rakesh Kumar Chaurasia,10-Sep-2025 04:50 PM,WORKORDERDrainDeobandSRESigned.pdf (1118.00 KB),Tender Awarded,1,5133229,MUSKAN CONSTRUCTION,20-Apr-2025 03:36 PM,Rejected-Finance,Quoted Rates Are Higher,24-Apr-2025 03:46 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1010069_4,44/E-TENDER/MEERUT-ZONE/24-25 DATED 18-02-2025,PROPOSED CONSTRUCTION OF BRICK DRAINS INSIDE OF SUB KARAGAR AT DEOBAND DISTRICT- SAHARANPUR (U.P.),1.0,5135033.0,vaishnavi enterprises,INR,"5,111,888.43",AOC
,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5135033,vaishnavi enterprises,21-Apr-2025 12:39 PM,Accepted-AOC,L1,10-Sep-2025 04:51 PM,,,,,,,,,,AOC
