S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,"96,000",Yes,fixed,,Nil,Nil,27-Aug-2025 11:00 AM,01-Sep-2025 02:00 PM,27-Aug-2025 11:00 AM,01-Sep-2025 11:00 AM,NA ,NA ,27-Aug-2025 11:00 AM,01-Sep-2025 11:00 AM,08-Sep-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,As per NIT,854.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",04/EE/2025-26,2025_UPIDC_1068849_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,"Office Of The EE MGCC6, Meerut",04/EE/2025-26(LOT3),04/EE/2025-26(LOT3),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Meerut,250001.0,NA ,NA ,NA ,Meerut,No ,No,AOC,Finance,02 Bidder submitted our bid,himanshu dharia,17-Sep-2025 09:25 AM,finance_1950035.pdf,BOQ Comparative Chart,Himanshu Dharia,Internal,S N Upendra Rohit,himanshu dharia,08-Sep-2025 09:32 AM,08-Sep-2025 11:00 AM,techsummary_1950035.pdf (234.80 KB),Technical,02 Bidder Admitted our bid,himanshu dharia,08-Sep-2025 09:08 AM,technical_1950035.pdf,Himanshu Dharia,Internal,S N UPENDRA ROHIT,himanshu dharia,17-Sep-2025 09:44 AM,finsummary_1950035.pdf (21.73 KB),17-Sep-2025,"INR 888,690",90.0,himanshu dharia,17-Sep-2025 09:51 AM,boqcomparativechartLt3.pdf (22.00 KB),L1,1,5510349,MAA SHAKUMBARI,01-Sep-2025 12:15 AM,Accepted-AOC,L1,17-Sep-2025 09:51 AM,1.0,5510349.0,MAA SHAKUMBARI,INR,"888,690","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",2025_UPIDC_1068849_3,04/EE/2025-26,04/EE/2025-26(LOT3),AOC
,,,,,,,,,,,,,,,,,2,Finance,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5511731,S S CONSTRUCTION COMPANY,01-Sep-2025 10:29 AM,Rejected-Finance,L2,17-Sep-2025 09:44 AM,,,,,,,,,,AOC
