Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EE RED GONDA,Internal,ER J. B. Singh EE ER Virendra Kumar Pathak AE SRI L.K. Chakravarti DAO,VIRENDRA KUMAR PATHAK,04-Sep-2025 10:50 AM,04-Sep-2025 11:00 AM,techsummary_1946575.pdf (264.40 KB),Technical,Summary,VIRENDRA KUMAR PATHAK,03-Sep-2025 11:04 AM,,30-Sep-2025,"INR 1,344,184.42",120.0,Jay Bahadur Singh,30-Sep-2025 01:49 PM,13.pdf (431.00 KB),Bond,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,2025_REDUP_1067302_13,450/RED/ENivida/Nir/2025-26 dt 02-08-2025,Gram Panchayat Sumerpur me Loharanpurva me Sharif ke Khet tak 300 m me Interlocking Ka Karya,1,5506141,M/S DASMESH ASSOCIATES,30-Aug-2025 12:14 PM,Rejected-Finance,L2,30-Sep-2025 01:47 PM,Finance,Summary,Jay Bahadur Singh,08-Sep-2025 11:46 AM,,BOQ Comparative Chart,EE RED GONDA,Internal,ER J. B. Singh EE ER Virendra Kumar Pathak AE SRI L.K. Chakravarti DAO,Jay Bahadur Singh,30-Sep-2025 01:47 PM,finsummary_1946575.pdf (431.47 KB),1.0,5505860.0,M/S SRI JAN CONSTRUCTION,INR,"1,344,184.42",AOC,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,450/RED/ENivida/Nir/2025-26 dt 02-08-2025,2025_REDUP_1067302_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,950.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,NIT with T1,21-Aug-2025 06:00 PM,01-Sep-2025 12:30 PM,21-Aug-2025 06:00 PM,01-Sep-2025 12:00 PM,NA ,NA ,21-Aug-2025 06:00 PM,01-Sep-2025 12:00 PM,04-Sep-2025 11:00 AM,"26,905",Yes,percentage,2.0%,Nil,Nil,EE RED GONDA,EE RED GONDA Vikas Bhawan Distt Gonda,Gram Panchayat Sumerpur me Loharanpurva me Sharif ke Khet tak 300 m me Interlocking Ka Karya,Gram Panchayat Sumerpur me Loharanpurva me Sharif ke Khet tak 300 m me Interlocking Ka Karya,Gram Panchayat Sumerpur me Loharanpurva me Sharif ke Khet tak 300 m me Interlocking Ka Karya ,NA ,"13,45,261",Civil Works,NA ,Tender,90.0,120.0,EE RED Gonda,271001.0,NA ,NA ,NA ,EE RED Gonda,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,5505860,M/S SRI JAN CONSTRUCTION,29-Aug-2025 01:12 PM,Accepted-AOC,L1,30-Sep-2025 01:49 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Work BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
