Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1066859_1,011/E.E./BJR/NIDHI/2025-26 Dt. 20-08-2025,"Construction work of 71.00 m CC road and drain from the house of Sugarcane Center Nanhe Singh towards the house of Shri Ram Gopal in village Bhawanipur Gagaren, BLOCK- Jalilpur, DISTRICT- BIJNOR. (NIDHI WORK)",1.0,5482086.0,MOHD USMAN,INR,"746,501.98",1,5482086,MOHD USMAN,24-Aug-2025 10:52 AM,Accepted-AOC,AMOUNT IS LOWEST,10-Sep-2025 02:32 PM,03-Sep-2025,"INR 746,726",60.0,Avdhesh kumar Verma,10-Sep-2025 02:32 PM,011NIT026WOBJR.pdf (97.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,30-Aug-2025 02:20 PM,finsummary_1945539.pdf (248.93 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,28-Aug-2025 06:56 PM,technical_1945539.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,28-Aug-2025 07:15 PM,29-Aug-2025 10:00 AM,techsummary_1945539.pdf (193.29 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,30-Aug-2025 11:29 AM,,BOQ Comparative Chart,AOC,"15,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,011/E.E./BJR/NIDHI/2025-26 Dt. 20-08-2025,2025_SCIDC_1066859_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"E.E., UPSCIDCO, BIJNOR","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",1,FDR - Fixed Deposit,20-Aug-2025 04:00 PM,27-Aug-2025 11:00 AM,20-Aug-2025 04:00 PM,27-Aug-2025 10:00 AM,NA ,NA ,20-Aug-2025 04:00 PM,27-Aug-2025 10:00 AM,29-Aug-2025 10:00 AM,"Construction work of 71.00 m CC road and drain from the house of Sugarcane Center Nanhe Singh towards the house of Shri Ram Gopal in village Bhawanipur Gagaren, BLOCK- Jalilpur, DISTRICT- BIJNOR. (NIDHI WORK)","Construction work of 71.00 m CC road and drain from the house of Sugarcane Center Nanhe Singh towards the house of Shri Ram Gopal in village Bhawanipur Gagaren, BLOCK- Jalilpur, DISTRICT- BIJNOR. (NIDHI WORK)",Please refer Tender documents. ,NA ,"7,46,726",Civil Works - Roads,NA ,Tender,60.0,60.0,BIJNOR,246701.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,AOC
,,,,,,,,,2,5486461,SAMEER ENTERPRISES,24-Aug-2025 07:40 PM,Rejected-Finance,AMOUNT IS HIGH,30-Aug-2025 02:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
