Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,450/RED/ENivida/Nir/2025-26 dt 02-08-2025,2025_REDUP_1067302_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED GONDA,EE RED GONDA Vikas Bhawan Distt Gonda,Gram Sabha Kanchanpur ke Fattepur Sampark Marg se Ramtej ke ghar tak 80 m Length me Interlocking Ka Karya avam RCC Pulia Ka Nirman Karya,Gram Sabha Kanchanpur ke Fattepur Sampark Marg se Ramtej ke ghar tak 80 m Length me Interlocking Ka Karya avam RCC Pulia Ka Nirman Karya,Gram Sabha Kanchanpur ke Fattepur Sampark Marg se Ramtej ke ghar tak 80 m Length me Interlocking Ka Karya avam RCC Pulia Ka Nirman Karya ,NA ,"8,60,290",Civil Works,NA ,Tender,90.0,120.0,EE RED Gonda,271001.0,NA ,NA ,NA ,EE RED Gonda,No ,No,950.0,Nil,Nil,No,1.0,SBI Bank,"17,206",Yes,percentage,2.0%,Nil,Nil,21-Aug-2025 06:00 PM,01-Sep-2025 12:30 PM,21-Aug-2025 06:00 PM,01-Sep-2025 12:00 PM,NA ,NA ,21-Aug-2025 06:00 PM,01-Sep-2025 12:00 PM,04-Sep-2025 11:30 AM,1,Fee/PreQual/Technical,.pdf,NIT with T1,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,2025_REDUP_1067302_19,450/RED/ENivida/Nir/2025-26 dt 02-08-2025,Gram Sabha Kanchanpur ke Fattepur Sampark Marg se Ramtej ke ghar tak 80 m Length me Interlocking Ka Karya avam RCC Pulia Ka Nirman Karya,1,5506184,M/S DASMESH ASSOCIATES,30-Aug-2025 01:10 PM,Rejected-Finance,L2,30-Sep-2025 03:02 PM,1.0,5505896.0,M/S SRI JAN CONSTRUCTION,INR,"859,429.79",Finance,Summary,Jay Bahadur Singh,08-Sep-2025 11:25 AM,,BOQ Comparative Chart,EE RED GONDA,Internal,ER J. B. Singh EE ER Virendra Kumar Pathak AE SRI L.K. Chakravarti DAO,Jay Bahadur Singh,30-Sep-2025 03:02 PM,finsummary_1946646.pdf (454.73 KB),Technical,Summary,VIRENDRA KUMAR PATHAK,03-Sep-2025 10:41 AM,,30-Sep-2025,"INR 859,429.79",120.0,Jay Bahadur Singh,30-Sep-2025 03:04 PM,19.pdf (455.00 KB),Bond,EE RED GONDA,Internal,ER J. B. Singh EE ER Virendra Kumar Pathak AE SRI L.K. Chakravarti DAO,VIRENDRA KUMAR PATHAK,04-Sep-2025 11:21 AM,04-Sep-2025 11:30 AM,techsummary_1946646.pdf (285.93 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Work BOQ,AOC,,,,,2,5505896,M/S SRI JAN CONSTRUCTION,29-Aug-2025 02:27 PM,Accepted-AOC,L1,30-Sep-2025 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
