Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
05-Aug-2025,"INR 12,135,308.12",365.0,VIVEK PANDEY,16-Sep-2025 01:06 PM,cbtltr.pdf (357.00 KB),Contact award to Ist lowest bidder M/s Satyam Associates with 31.60 percent below. C.B. No. 04/SE/2025-16 dt. 05.08.2025,1.0,5239616.0,M/s Satyam Associates,INR,"12,135,308.12","U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",2025_UPJNM_1038497_1,1047/W-21/53,Water Supply Scheme for Administrative Campus of Dr. Ram Manohar Lohia Awadh University Ayodhya,1,5252663,J.N CONSTRUCTION,16-Jun-2025 02:25 PM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,Technical,Technical bid open on dt. 16-06-2025. 11 bids found and 10 bids admitted.,VIVEK PANDEY,17-Jun-2025 01:36 PM,,SE AYODHYA,Internal,SEEANDMAEAC,Santosh Kumar Singh,21-Jul-2025 01:17 PM,finsummary_1882719.pdf (601.61 KB),Finance,Financial bid opened on dt. 17-07-2025. M/s Satyam Associates found L1 bidder.,VIVEK PANDEY,17-Jul-2025 05:30 PM,,BOQ Comparative Chart,SE AYODHYA,Internal,EECIVILAYODHYAEEEANDMAYODHYAAECIVILAYODHYAACAYODHYA,Santosh Kumar Singh,17-Jul-2025 01:01 PM,17-Jul-2025 05:00 PM,techsummary_1882719.pdf (215.02 KB),AOC,1.0,Corrigendum 1,Date,,1.0,DD - Demand Draft,Superintending Engineer,"office of The Superintending Engineer, Construction Circle, U P Jal Nigam (Urban), Ayodhya","U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",1047/W-21/53,2025_UPJNM_1038497_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"11,800",Executive Engineer CD UPJN (Urban) Ayodhya,Ayodhya,No,"3,55,000",No,fixed,,Executive Engineer CD UPJN (Urban) Ayodhya,Ayodhya,12-May-2025 06:35 PM,16-Jun-2025 04:30 PM,12-May-2025 06:40 PM,16-Jun-2025 04:00 PM,12-May-2025 06:40 PM ,21-May-2025 04:00 PM ,12-May-2025 06:40 PM,16-Jun-2025 04:00 PM,17-Jul-2025 05:00 PM,Water Supply Scheme for Administrative Campus of Dr. Ram Manohar Lohia Awadh University Ayodhya,Water Supply Scheme for Administrative Campus of Dr. Ram Manohar Lohia Awadh University Ayodhya,As per attached bid document ,NA ,"1,77,41,678",Civil Works,Civil work with E and M work ,Tender,120.0,365.0,Dr. Ram Manohar Lohia Awadh University Ayodhya,224001.0,Civil Line Ayodhya ,"office of The Superintending Engineer, Construction Circle, U P Jal Nigam (Urban), Ayodhya ",19-May-2025 03:00 PM ,Civil Line Ayodhya,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,,,,,,,,,,2,5239705,M/s ADORE ENGINEERS AND TRADERS,16-Jun-2025 01:45 PM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC
,,,,,,,,,,,,,,,,3,5239210,M/S LAXMI TRADERS,16-Jun-2025 03:16 PM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5239093,M/S MAA VAISHNO CONSTRACTION COMPANY,06-Jun-2025 06:26 PM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5234660,M/s Maha Laxmi Enterprises,16-Jun-2025 02:59 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD not submitted in office,17-Jun-2025 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5239616,M/s Satyam Associates,15-Jun-2025 12:44 PM,Accepted-AOC,Ist lowest bidder,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5252667,M/S SHREE HARIOM SHARMA CONSTRUCTION,16-Jun-2025 02:17 PM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5252838,M/S SINGH CONSTRUCTIONS & SUPPLIERS,16-Jun-2025 03:23 PM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5249668,RAMESH SINGH CONSTRUCTIONS,16-Jun-2025 11:58 AM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5251701,SHIVA ASSOCIATES,16-Jun-2025 08:14 AM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,5252276,SUNDIGO SOLAR SOLUTIONS PRIVATE LIMITED,16-Jun-2025 03:22 PM,Rejected-AOC,Not found lowest,16-Sep-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
