S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,04/EE/2025-26(LOT4),Date,,1.0,SBI Bank,EXECUTIVE ENGINEER,"Office Of The EE MGCCD6, Meerut",1,Fee/PreQual/Technical,.pdf,As per NIT,04/EE/2025-26(LOT4),04/EE/2025-26(LOT4),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Meerut,250001.0,NA ,NA ,NA ,Meerut,No ,No,766.0,Nil,Nil,No,27-Aug-2025 11:00 AM,03-Sep-2025 02:00 PM,27-Aug-2025 11:00 AM,03-Sep-2025 12:00 PM,NA ,NA ,27-Aug-2025 11:00 AM,03-Sep-2025 12:00 PM,08-Sep-2025 11:00 AM,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",04/EE/2025-26,2025_UPIDC_1068849_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"52,000",Yes,fixed,,Nil,Nil,AOC,Finance,02 Bidder submitted our bid,himanshu dharia,17-Sep-2025 09:28 AM,finance_1950037.pdf,BOQ Comparative Chart,Himanshu Dharia,Internal,S N Upendra Rohit,himanshu dharia,08-Sep-2025 09:34 AM,08-Sep-2025 11:00 AM,techsummary_1950037.pdf (231.33 KB),Technical,02 Bidder admitted our bid,himanshu dharia,08-Sep-2025 09:23 AM,technical_1950037.pdf,Himanshu Dharia,Internal,S N UPENDRA ROHIT,himanshu dharia,17-Sep-2025 09:48 AM,finsummary_1950037.pdf (21.71 KB),17-Sep-2025,"INR 444,460",90.0,himanshu dharia,17-Sep-2025 09:54 AM,boqcomparativechartlt4.pdf (22.00 KB),L1,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",2025_UPIDC_1068849_4,04/EE/2025-26,04/EE/2025-26(LOT4),1.0,5514392.0,MAA SHAKUMBARI,INR,"444,460",1,5514392,MAA SHAKUMBARI,02-Sep-2025 10:22 PM,Accepted-AOC,L1,17-Sep-2025 09:55 AM,AOC
,,,,,,,,2,Finance,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5514408,UMAIR CONTRACTOR,02-Sep-2025 10:19 PM,Rejected-Finance,L2,17-Sep-2025 09:48 AM,AOC
