S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1023 DT-17/03/2025,2025_YEIDA_1020337_3,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"58,000",No,fixed,,Nil,Nil,880.0,Nil,Nil,No,21-Mar-2025 06:55 PM,15-Apr-2025 11:00 AM,21-Mar-2025 06:55 PM,11-Apr-2025 05:00 PM,NA ,NA ,21-Mar-2025 06:55 PM,11-Apr-2025 05:00 PM,09-May-2025 04:00 PM,GM P,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,Corrigendum 1,Date,,Providing and laying interlocking tiles and brick drain in village- mohablipur YEA .WC-06,Providing and laying interlocking tiles and brick drain in village- mohablipur YEA .WC-06,Please refer Tender documents. ,NA ,"28,99,924",Civil Works,NA ,Tender,90.0,180.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA OFFICE 2ND FLOOR E TENDERING,No ,No,1.0,Fee/PreQual/Technical,.pdf,APPENDIX A TO E,AOC,Finance,UNDER EVALUATION,NITENDRA KUMAR ADARSH,22-May-2025 03:38 PM,,BOQ Comparative Chart,Committee,Internal,Committee,VIKAS KUMAR,09-May-2025 01:13 PM,09-May-2025 04:00 PM,techsummary_1841320.pdf (656.36 KB),Technical,evaluation,VIKAS KUMAR,09-May-2025 01:11 PM,,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,22-May-2025 03:51 PM,finsummary_1841320.pdf (78.89 KB),12-Sep-2025,"INR 2,059,236.42",180.0,BHARAM PAL SINGH,12-Sep-2025 03:11 PM,1023_3.pdf (946.00 KB),AOC,1,5090901,IZNA ENGINEERS,09-Apr-2025 09:10 AM,Rejected-Finance,L3,22-May-2025 03:51 PM,1.0,5113004.0,M/S R.V. CONTRACTOR,INR,"2,059,236.42",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1020337_3,YEA/GM(PROJECT)/2025/1023 DT-17/03/2025,Providing and laying interlocking tiles and brick drain in village- mohablipur YEA .WC-06,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5115323,M/S KRISHNATRAY AND CO.,11-Apr-2025 02:20 PM,Rejected-Finance,L2,22-May-2025 03:51 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5113004,M/S R.V. CONTRACTOR,11-Apr-2025 03:46 PM,Accepted-AOC,L1,12-Sep-2025 03:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5113940,M/S S M CONSTRUCTION,10-Apr-2025 06:14 PM,Rejected-Finance,L5,22-May-2025 03:51 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5090539,RAJKAMAL CONTRACTOR and SUPPLIERS,31-Mar-2025 12:15 PM,Rejected-Finance,L4,22-May-2025 03:51 PM,,,,,,,,,,AOC
