Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
29-Aug-2025,"INR 2,178,948",20.0,YASH KUMAR,11-Sep-2025 01:23 PM,AOC03.pdf (354.00 KB),Painting of Sharda Barrage,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||W M Irrigation Workshop Division - Bareilly,2025_UPIDM_1061721_1,03/WM/IWDB/2025-26,Painting of shutter assembly of 03 nos of gates of Sharda Barrage,1.0,5422157.0,SHIV RAM ENTERPRISES,INR,"2,178,948",1,5422157,SHIV RAM ENTERPRISES,12-Aug-2025 09:43 AM,Accepted-AOC,Lowest Amount,11-Sep-2025 01:25 PM,Technical,Technical Bid,YASH KUMAR,21-Aug-2025 01:12 PM,technical_1934564.pdf,Yash kumar,Internal,Manoj Kumar Gour and Pranav Singh,YASH KUMAR,23-Aug-2025 02:24 PM,finsummary_1934564.pdf (696.76 KB),Finance,Financial bid,YASH KUMAR,23-Aug-2025 02:17 PM,,BOQ Comparative Chart,YASH KUMAR,Internal,MANOJ KUMAR GOUR AND PRANAV SINGH,YASH KUMAR,21-Aug-2025 01:19 PM,21-Aug-2025 03:00 PM,techsummary_1934564.pdf (696.76 KB),AOC,"2,714",Nil,Nil,No,works manager,Irrigation workshop division Bareilly,"45,000",No,fixed,,Nil,Nil,Painting of shutter assembly of 03 nos of gates of Sharda Barrage,Painting of Shutter Assembly after sand balsting and Apply two coat of zinc rich primer and two coat of solvent less epoxy paint for 03 No. gates of Sharda Barrage Lakhimpur Khiri at IWD Bareilly,Please refer Tender documents. ,NA ,,Paint / Enamel Works,NA ,Tender,90.0,20.0,BAREILLY,243122.0,NA ,NA ,NA ,"Office of Works Manager, IWD Bareilly",No ,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||W M Irrigation Workshop Division - Bareilly,03/WM/IWDB/2025-26,2025_UPIDM_1061721_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Aug-2025 10:00 AM,14-Aug-2025 03:00 PM,07-Aug-2025 10:00 AM,14-Aug-2025 11:00 AM,NA ,NA ,07-Aug-2025 10:00 AM,14-Aug-2025 11:00 AM,21-Aug-2025 03:00 PM,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5425067,S K ENGINEERING WORKS,12-Aug-2025 11:54 PM,Rejected-Finance,Low amount,23-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5424371,UDAY ENGINEERS,12-Aug-2025 07:25 PM,Rejected-Technical,technical not qualified,21-Aug-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
