Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
SE OMC-III CTPS Parichha Jhansi,"Office of SE OMC-III CTPS Parichha, Jhansi",W-PAR/C/OMC3/CIMD1/6000007989,"Overhauling of station C and I System and instruments of SWAS, BTG and FO area in Unit 6 of 2x250 MW,CTPS, Parichha, Jhansi",Refer to tender documents ,NA ,"3,26,643",Power/Energy Projects/Products,NA ,Tender,120.0,45.0,"2x250MW,CTPS Parichha,Jhansi",284305.0,NA ,NA ,NA ,Office of SE OMC-III CTPS Parichha,No ,No,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,FEE/PQC/TECHNICAL,"6,500",No,fixed,,Refer to Tender Documents,Refer to Tender Documents,590.0,Refer to Tender Documents,Refer to Tender Documents,No,09-Apr-2025 10:00 AM,08-May-2025 04:00 PM,09-Apr-2025 12:00 PM,05-May-2025 02:00 PM,09-Apr-2025 02:00 PM ,05-May-2025 02:00 PM ,09-Apr-2025 02:00 PM,05-May-2025 02:00 PM,20-May-2025 05:20 PM,UP Rajya Vidyut Utpadan Nigam Ltd||Parichha Thermal Power Project- UPRVUNL- Jhansi,W-PAR/C/OMC3/CIMD1/6000007989,2025_RVUNL_1025841_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,AOC,CEL1,Internal,,SUJEET SINGH,10-Sep-2025 05:36 PM,finsummary_1853670.pdf (191.88 KB),Technical,Summery part one.,SUJEET SINGH,08-May-2025 04:47 PM,technical_1853670.pdf,SE OMC-III,Internal,SE OMC-III,SUJEET SINGH,20-May-2025 05:13 PM,20-May-2025 05:20 PM,techsummary_1853670.pdf (292.50 KB),Finance,Part-2 opening summary,SUJEET SINGH,20-May-2025 05:51 PM,finance_1853670.pdf,BOQ Comparative Chart,1,5166200,KEY LOGIC SYSTEMS PRIVATE LIMITED,04-May-2025 08:52 PM,Accepted-AOC,L1 BIDDER,10-Sep-2025 05:44 PM,UP Rajya Vidyut Utpadan Nigam Ltd||Parichha Thermal Power Project- UPRVUNL- Jhansi,2025_RVUNL_1025841_1,W-PAR/C/OMC3/CIMD1/6000007989,W-PAR/C/OMC3/CIMD1/6000007989,1.0,5166200.0,KEY LOGIC SYSTEMS PRIVATE LIMITED,INR,"339,218",15-Jan-2026,"INR 329,218",45.0,SUJEET SINGH,10-Sep-2025 05:44 PM,KeylogicmainplantLOIOH6.pdf (1054.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5166872,M/S A.K.CONSTRUCTION,04-May-2025 07:12 PM,Rejected-AOC,L2 BIDDER,10-Sep-2025 05:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5167127,M/S INSTRUMENT CARE GROUP,04-May-2025 09:59 PM,Rejected-AOC,L3 BIDDER,10-Sep-2025 05:44 PM,,,,,,,,,,,,,,,,AOC
