Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Earth work in clearance of Nakahiya Bhulanpur Drain in between km. 0.000 to km. 2.100,Earth work in clearance of Nakahiya Bhulanpur Drain in between km. 0.000 to km. 2.100,Please refer Tender documents. ,NA ,"4,29,000",Civil Works,NA ,Rate Contract,90.0,15.0,ee id shardanagar lakhimpur kheri,262726.0,NA ,NA ,NA ,ee id shardanagar lakhimpur kheri,No ,No,ee id shardanagar lakhimpur kheri,ee id shardanagar lakhimpur kheri,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow||IDSN, lakhimpur khiri",02/EE/2025-26,2025_UPIDC_1036289_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,tender document,280.0,Nil,Nil,No,"9,000",No,fixed,,Nil,Nil,24-May-2025 03:00 PM,30-May-2025 11:30 AM,24-May-2025 03:00 PM,30-May-2025 11:00 AM,NA ,NA ,24-May-2025 03:00 PM,30-May-2025 11:00 AM,30-May-2025 02:30 PM,1.0,SBI Bank,AOC,Finance,fin,Shobhit Kumar Kushwaha,30-May-2025 02:47 PM,,BOQ Comparative Chart,ee id shardanagar Lakhimpur-kheri,Internal,ee id shardanagar Lakhimpur-kheri ee id sitapur,Shobhit Kumar Kushwaha,30-May-2025 02:59 PM,finsummary_1891528.pdf (53.75 KB),1.0,5219595.0,SUSHIL KUMAR CONTRACTOR,INR,"209,863.95","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow||IDSN, lakhimpur khiri",2025_UPIDC_1036289_19,02/EE/2025-26,Earth work in clearance of Nakahiya Bhulanpur Drain in between km. 0.000 to km. 2.100,1,5219654,Jagat Construction,27-May-2025 06:33 PM,Rejected-Finance,due to higher rates,30-May-2025 02:59 PM,ee id shardanagar Lakhimpur-kheri,Internal,ee id shardanagar Lakhimpur-kheri ee id sitapur,Shobhit Kumar Kushwaha,30-May-2025 01:56 PM,30-May-2025 02:30 PM,techsummary_1891528.pdf (53.75 KB),04-Jun-2025,"INR 429,000",15.0,Karan Pal,16-Sep-2025 01:47 PM,16.pdf (633.00 KB),aoc,Technical,tech,Shobhit Kumar Kushwaha,30-May-2025 01:25 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5219595,SUSHIL KUMAR CONTRACTOR,30-May-2025 10:51 AM,Accepted-AOC,required paper submitted,16-Sep-2025 01:47 PM,,,,,,,,,,,,,,,,,,,,AOC
