S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5418519.0,M/s suresh chauhan,11-Aug-2025 10:38 PM,Accepted-AOC,LOWEST RATE FOUND,19-Sep-2025 07:31 PM,1.0,5418519.0,M/s suresh chauhan,INR,"1,997,194.21",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE MAU,2025_REDUP_1064133_1,667dt15.07.2025,Vikas Khand Badraon ke Gram Panchayat Hadahuwa me N.H.-29 se Lalji Singh ka Ghar Hote Hue Guta Gond ke ghar ke aage tak C.C. Road Nirman Karya.,18-Sep-2025,"INR 1,997,194.21",90.0,ARUN KUMAR VERMA,19-Sep-2025 07:31 PM,HadahuaaAOC.pdf (141.00 KB),M/s Suresh CHAUHAN FINANCIAL BID RATE FOUND LOWEST AND BELOW THE RATE OF DIPARTMENTAL RATE HANCE A.O.C.GENERATED IN THE NAME OF M/s Suresh CHAUHAN,EE RED MAU,Internal,"E.E.A.K.Verma,D.A.O.Kunwar Raghavendra Singh,AE Jai Prakash Singh",ARUN KUMAR VERMA,09-Sep-2025 02:07 PM,finsummary_1939225.pdf (362.97 KB),Technical,Two Technical Bid found,ARUN KUMAR VERMA,26-Aug-2025 02:05 PM,technical_1939225.pdf,EE RED MAU,Internal,"E.E.A.K.Verma,D.A.O.Kunwar Raghavendra Singh,AE Jai Prakash Singh",ARUN KUMAR VERMA,26-Aug-2025 02:08 PM,27-Aug-2025 01:30 PM,techsummary_1939225.pdf (362.97 KB),Finance,Two financial Bid found,ARUN KUMAR VERMA,27-Aug-2025 04:27 PM,finance_1939225.pdf,BOQ Comparative Chart,AOC,"48,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE MAU,667dt15.07.2025,2025_REDUP_1064133_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Payment Certificate,Ex.Ex.R.E.D. Vikas Bhawan Mau,Ex.Ex.R.E.D. Vikas Bhawan Mau,07-Aug-2025 06:00 PM,14-Aug-2025 01:30 PM,07-Aug-2025 06:00 PM,13-Aug-2025 12:00 PM,NA ,NA ,07-Aug-2025 06:00 PM,13-Aug-2025 12:00 PM,27-Aug-2025 01:30 PM,Vikas Khand Badraon ke Gram Panchayat Hadahuwa me N.H.-29 se Lalji Singh ka Ghar Hote Hue Guta Gond ke ghar ke aage tak C.C. Road Nirman Karya.,Vikas Khand Badraon ke Gram Panchayat Hadahuwa me N.H.-29 se Lalji Singh ka Ghar Hote Hue Guta Gond ke ghar ke aage tak C.C. Road Nirman Karya.,Please refer Tender documents. ,NA ,"23,64,000",Civil Works,NA ,Tender,90.0,90.0,MAU,275101.0,NA ,NA ,NA ,Ex.Ex.R.E.D. Vikas Bhawan Mau,No ,No,"1,104",Nil,Nil,No,AOC
2.0,5419006.0,SHREE GANESH CONSTRUCTION,11-Aug-2025 11:07 PM,Rejected-AOC,SECOND LOWEST RATE FOUND,19-Sep-2025 07:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
