Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
27-Sep-2025,"INR 24,285,333.48",540.0,Rajeev Kumar Pandey,26-Sep-2025 03:40 PM,Ag1.pdf (719.00 KB),1.0,4977641.0,M/S CLASSIC CONSTRUCTION,INR,"24,285,333.48",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,2025_UPPRC_1006317_1,18/PCL/GM/ZONE-2/BLY/2024-25,"CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, ASMOLI DISTT- SAMBHAL (U.P)",1,4998951,Core Wood Infratech,25-Feb-2025 04:31 PM,Rejected-Finance,Being II lowest,26-Sep-2025 03:39 PM,Finance,Financial Summary,Rajeev Kumar Pandey,26-Sep-2025 03:37 PM,finance_1801543.pdf,BOQ Comparative Chart,General Manager,Internal,,Rajeev Kumar Pandey,06-Mar-2025 12:55 PM,07-Mar-2025 03:00 PM,techsummary_1801543.pdf (1001.18 KB),Technical,Comparative,Rajeev Kumar Pandey,06-Mar-2025 12:46 PM,technical_1801543.pdf,General Manager,Internal,,Rajeev Kumar Pandey,26-Sep-2025 03:39 PM,finsummary_1801543.pdf (1001.18 KB),AOC,"4,88,000",No,fixed,,"Project Manager, U.P. Projects Corporation Ltd",Moradabad,1.0,FDR - Fixed Deposit,"17,700","Project Manager, U.P. Projects Corporation Ltd",Moradabad,No,General manager,"General Manager, Zone-2, U.P. Projects Corporation Ltd. 14, Chandra Shekar Nagar Colony, Tulasherpur, Bareilly",1.0,Fee/PreQual/Technical,.pdf,Technical Bid,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,18/PCL/GM/ZONE-2/BLY/2024-25,2025_UPPRC_1006317_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,17-Feb-2025 10:00 AM,27-Feb-2025 03:00 PM,17-Feb-2025 10:00 AM,27-Feb-2025 01:00 PM,NA ,NA ,17-Feb-2025 10:00 AM,27-Feb-2025 01:00 PM,07-Mar-2025 03:00 PM,"CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, ASMOLI DISTT- SAMBHAL (U.P)","CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, ASMOLI DISTT- SAMBHAL (U.P)","CONSTRUCTION OF HOSTEL BLOCK AT KASTURBA GANDHI BALIKA VIDYALAYA, ASMOLI DISTT- SAMBHAL (U.P) ",NA ,"2,44,00,000",Civil Works,NA ,Tender,540.0,540.0,bareilly,243122.0,NA ,NA ,NA ,BAREILLY,No ,No,AOC
,,,,,,,,,,,,,,,2,4977641,M/S CLASSIC CONSTRUCTION,19-Feb-2025 05:55 PM,Accepted-AOC,Work Awarded to M/S Classic Construction,26-Sep-2025 03:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,4999296,TIRUPATI ENTERPRISES,25-Feb-2025 07:10 PM,Rejected-Finance,Being II lowest,26-Sep-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
