Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,2025_REDUP_1049321_2,165/RED/2025-26 Dt. 02.06.2025,Gram Mahuli Hemant ke ghar se Aasanipurwa road tak pitch nirman karya,1.0,5284259.0,INDRAKIRTI SHARAN AGRAWAL,INR,"7,871,818.44",1,5284259,INDRAKIRTI SHARAN AGRAWAL,02-Jul-2025 02:09 PM,Accepted-AOC,a,12-Sep-2025 11:37 AM,12-Sep-2025,"INR 7,871,818.44",180.0,MuneshKumar Lodhi,12-Sep-2025 11:37 AM,165lot02.pdf (666.00 KB),a,ER MUNESH KUMAR LODHI,Internal,se,MuneshKumar Lodhi,12-Sep-2025 11:35 AM,finsummary_1906915.pdf (665.52 KB),Technical,Summary,Shailendra Chaudhary,29-Jul-2025 09:22 AM,,ER MUNESH KUMAR LODHI,Internal,se,MuneshKumar Lodhi,12-Aug-2025 01:08 PM,18-Aug-2025 12:00 PM,techsummary_1906915.pdf (532.74 KB),Finance,Summary,Shailendra Chaudhary,04-Sep-2025 09:31 AM,,BOQ Comparative Chart,AOC,25-May-2026 11:59 AM,08-Jul-2025 12:30 PM,20-Jun-2025 10:00 AM,07-Jul-2025 12:00 PM,20-Jun-2025 10:00 AM ,07-Jul-2025 12:00 PM ,20-Jun-2026 11:59 AM,07-Jul-2025 12:00 PM,18-Aug-2025 12:00 PM,"2,714",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,technical,SERED CIRCLE BASTI,O/O SERED CIRCLE BASTI,"1,58,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,165/RED/2025-26 Dt. 02.06.2025,2025_REDUP_1049321_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Gram Mahuli Hemant ke ghar se Aasanipurwa road tak pitch nirman karya,Gram Mahuli Hemant ke ghar se Aasanipurwa road tak pitch nirman karya,as per sbd ,NA ,"78,76,000",Civil Works,NA ,Tender,90.0,180.0,WORKS,272001.0,NA ,NA ,NA ,O/O SERED CIRCLE BASTI,No ,No,AOC
,,,,,,,,,2,5285933,KRISHNA CHANDRA DWIVEDI CONTRACTOR,02-Jul-2025 02:45 PM,Rejected-Finance,r,12-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2,Finance,.xls,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
