Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Bareilly,2025_SCIDC_1068727_3,06/Elect./Hapur/2025-26 Dated- 26.08.2025,S/I/T/C of Centralized Air Conditioning System at Trauma Center Garhmukteshwar District Hapur.,1.0,5544525.0,Coldspot Agencies,INR,"756,204.75",1,5544525,Coldspot Agencies,20-Sep-2025 07:15 PM,Accepted-AOC,OK,24-Sep-2025 03:50 PM,26-Sep-2025,"INR 756,204.75",75.0,Munivir singh Rajput,24-Sep-2025 03:50 PM,1068727.pdf (558.00 KB),Shri Munivir Singh,Internal,,Munivir singh Rajput,23-Sep-2025 03:44 PM,23-Sep-2025 03:45 PM,techsummary_1960918.pdf (661.68 KB),Finance,Rate of M/s Coldspot Agencies is Accepted.,Munivir singh Rajput,23-Sep-2025 06:10 PM,finance_1960918.pdf,BOQ Comparative Chart,Shri Munivir Singh,Internal,,Munivir singh Rajput,23-Sep-2025 06:18 PM,finsummary_1960918.pdf (472.05 KB),Technical,All Bids are Qualified.,Munivir singh Rajput,23-Sep-2025 03:36 PM,technical_1960918.pdf,AOC,"1,062",UPSCIDCO,GHAZIABAD,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Bareilly,06/Elect./Hapur/2025-26 Dated- 26.08.2025,2025_SCIDC_1068727_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,15-Sep-2025 12:10 PM,22-Sep-2025 01:00 PM,15-Sep-2025 12:10 PM,22-Sep-2025 12:00 PM,NA ,NA ,15-Sep-2025 12:10 PM,22-Sep-2025 12:00 PM,23-Sep-2025 03:45 PM,S/I/T/C of Centralized Air Conditioning System at Trauma Center Garhmukteshwar District Hapur.,S/I/T/C of Centralized Air Conditioning System at Trauma Center Garhmukteshwar District Hapur.,Please refer Tender documents. ,NA ,"7,58,100",Electrical Works,NA ,Tender,75.0,75.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,1.0,RTGS - RTGS Payment,Executive engineer,"Ex. En. Office, H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.","16,000",No,fixed,,UPSCIDCO,GHAZIABAD,AOC
,,,,,,,,,2,5548818,Mahesh and Copany,20-Sep-2025 08:00 PM,Rejected-AOC,OK,24-Sep-2025 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
