Name,Address,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Sr Manager,Office of the Sr Manager Elect ED II UPSIDA TDS City GZB.,1.0,RTGS - RTGS Payment,1.0,Extend the date,Date,,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,ED-II (142) Date 26.05.2025,2025_SIDC_1065796_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"17,000",Yes,fixed,,Sr Manager,Sr Manager,15-Aug-2025 11:00 AM,01-Sep-2025 11:00 AM,15-Aug-2025 11:00 AM,30-Aug-2025 05:00 PM,NA ,NA ,15-Aug-2025 11:00 AM,30-Aug-2025 05:00 PM,09-Sep-2025 06:45 PM,Supply and fixing of facade light at entrance gate of IA. IIDC Baghpat along with 03 Years AMC.,Supply and fixing of facade light at entrance gate of IA. IIDC Baghpat along with 03 Years AMC.,As per Technical Bid ,NA ,"6,97,841",Electrical Works,Electrical Works ,Tender,90.0,1155.0,Baghpat,250609.0,NA ,NA ,NA ,TDS City GZB,No ,No,1,Fee/PreQual/Technical,.pdf,Technical Bid,"1,475",Sr Manager,Sr Manager,No,AOC,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,2025_SIDC_1065796_1,ED-II (142) Date 26.05.2025,Supply and fixing of facade light at entrance gate of IA. IIDC Baghpat along with 03 Years AMC.,Technical,Technical Bid summary,Ashish Singh Tomar,02-Sep-2025 07:26 PM,,SM,Internal,AFAO and Manager,Ashish Singh Tomar,27-Sep-2025 02:07 PM,finsummary_1942812.pdf (6322.54 KB),1.0,5473300.0,Kapoor Electric Company,INR,"696,096.4",1,5473300,Kapoor Electric Company,29-Aug-2025 02:28 PM,Accepted-AOC,You are first lowest.,27-Sep-2025 02:11 PM,27-Sep-2025,"INR 696,096.4",1155.0,Ashish Singh Tomar,27-Sep-2025 02:11 PM,142_0001.pdf (6323.00 KB),AOC to M/S Kapoor Elect. Company,SM,Internal,AFAO and Manager,Ashish Singh Tomar,09-Sep-2025 06:44 PM,09-Sep-2025 06:45 PM,techsummary_1942812.pdf (1536.03 KB),Finance,Price Bid Summary,Ashish Singh Tomar,09-Sep-2025 07:13 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Price Bid,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,5509208,M/S MANOJ ELECTRICALS,30-Aug-2025 12:21 PM,Rejected-Finance,You are second lowest.,27-Sep-2025 02:07 PM,,,,,,,,,,,,,,,,,,,,,AOC
