S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5550362.0,maheshwari and sons,INR,"330,882.5",Sainik Kalyan Evam Punarvas U.P.,2025_SKEP_1069121_1,2453/Tender/Sa.Pa.-2/2025/3,Printing and Supply of stickers Token flags and Car stickers,Technical,Total 4 No. Bids received. Evaluation of technical bids in progress.,Sanjeev Kumar,22-Sep-2025 04:35 PM,,Lt. Col Sanjeev Kumar (Retd.),Internal,"Wing Cdr. Parminder Kaur (Retd.), Wing Cdr. Mukesh Tiwari (Retd.), Sushri Suchita Pandey",Sanjeev Kumar,23-Sep-2025 03:54 PM,finsummary_1950625.pdf (442.11 KB),Lt. Col Sanjeev Kumar (Retd.),Internal,"Wing Cdr. Parminder Kaur (Retd.), Wing Cdr. Mukesh Tewari (Retd.), Sushri Suchita Pandey",Sanjeev Kumar,22-Sep-2025 06:05 PM,23-Sep-2025 11:00 AM,techsummary_1950625.pdf (442.11 KB),Finance,Financial bids opened on 23 September 2025,Mukesh Tiwari,23-Sep-2025 11:56 AM,finance_1950625.pdf,BOQ Comparative Chart,23-Sep-2025,"INR 330,882.5",20.0,Mukesh Tiwari,24-Sep-2025 03:52 PM,AOC.pdf (812.00 KB),AOC,1,5550081,Ganesh Printing Works,21-Sep-2025 07:01 PM,Rejected-Finance,Overall L2,23-Sep-2025 03:54 PM,AOC,Director Sainik Kalyan Evam Punarvas U.P.,"Padamshri Mona Chandrawati Marg, Kaiserbagh, Lucknow",1.0,Fee/PreQual/Technical,.pdf,Technical Document Nit,"30,000",Yes,fixed,,Director Sainik Kalyan Jhanda Diwas Nidhi,Lucknow,0.0,Nil,Nil,No,Sainik Kalyan Evam Punarvas U.P.,2453/Tender/Sa.Pa.-2/2025/3,2025_SKEP_1069121_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,30-Aug-2025 10:00 AM,22-Sep-2025 02:00 PM,30-Aug-2025 10:00 AM,22-Sep-2025 12:00 PM,30-Aug-2025 02:00 PM ,03-Sep-2025 02:00 PM ,30-Aug-2025 02:00 PM,22-Sep-2025 12:00 PM,23-Sep-2025 11:00 AM,Printing and Supply of stickers Token flags and Car stickers,Printing and Supply of stickers Token flags and Car stickers,NA ,NA ,0.0,Publishing/Printing,NA ,Tender,90.0,20.0,"Padamshri MonaChandrawati Marg, Kaiserbagh, Lko",226001.0,NA ,NA ,NA ,"Directorate Sainik Kalyan Evam Punarvas UP, Kaiser",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5550362,maheshwari and sons,21-Sep-2025 08:17 PM,Accepted-AOC,L1,24-Sep-2025 03:52 PM,AOC,,,2.0,Finance,.xls,Financial Document BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5535777,MAVERICK INNOVATIONS PRIVATE LIMITED,22-Sep-2025 11:37 AM,Rejected-Technical,Not meeting eligibility criteria mentioned at 1c of Eligibility Conditions.,22-Sep-2025 06:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5522999,Pratibha Press And Multimedia Pvt. Ltd.,21-Sep-2025 06:23 PM,Rejected-Finance,Overall L3,23-Sep-2025 03:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
