EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,72,000",No,fixed,,Sr Manager,Sr Manager,Providing LED Street light network along with 03 years AMC at IA. Sector 22 Meerut Road Ghaziabad.,Providing LED Street light network along with 03 years AMC at IA. Sector 22 Meerut Road Ghaziabad.,As per Technical Bid Documents.  ,NA ,"72,81,764",Electrical Works,Electrical Works ,Tender,90.0,1215.0,Meerut Road Ghaziabad,201001.0,NA ,NA ,NA ,TDS City Ghaziabad,No ,No,1,Fee/PreQual/Technical,.pdf,Technical bid,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,ED-II (44) Date 24.04.2025,2025_SIDC_1054223_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"3,375",Sr Manager,Sr Manager,No,Sr Manager Elect,Office of the Sr Manager Elect ED II UPSIDA TDS City Ghaziabad.,04-Jul-2025 11:00 AM,14-Jul-2025 11:00 AM,04-Jul-2025 11:00 AM,11-Jul-2025 05:00 PM,NA ,NA ,04-Jul-2025 11:00 AM,11-Jul-2025 05:00 PM,21-Jul-2025 02:00 PM,1.0,RTGS - RTGS Payment,AOC,03-Sep-2025,"INR 7,183,460.48",1215.0,Ashish Singh Tomar,03-Sep-2025 05:35 PM,44_0001.pdf (9226.00 KB),"AOC to M/S Maruti Enterprises, Lucknow",1.0,5314793.0,MARUTI ENTERPRISES,11-Jul-2025 04:18 PM,Accepted-AOC,You are first lowest.,03-Sep-2025 05:35 PM,GM HQ,Internal,AM Manager AFAO HQ,Ashish Singh Tomar,21-Jul-2025 01:59 PM,21-Jul-2025 02:00 PM,techsummary_1917274.pdf (1914.83 KB),Finance,Price Bid Summary,Ashish Singh Tomar,21-Jul-2025 04:32 PM,,BOQ Comparative Chart,Technical,Technical Bid Summary,Ashish Singh Tomar,14-Jul-2025 01:17 PM,,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,2025_SIDC_1054223_1,ED-II (44) Date 24.04.2025,Providing LED Street light network along with 03 years AMC at IA. Sector 22 Meerut Road Ghaziabad.,DGM,Internal,SM Manager AFAO,Ashish Singh Tomar,03-Sep-2025 05:33 PM,finsummary_1917274.pdf (9226.19 KB),1.0,5314793.0,MARUTI ENTERPRISES,INR,"7,183,460.48",AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
