Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2025_SCIDC_1066417_1,1045 /EE SKN /E-Tender / Vidhayak Nidhi Mehdawal SKN /2025-26 Dated 18 -08-2025,Construction of RCC Culvert work at Ghurapali Me Karai Samay Mata Ke Sthan Par Nale Par Block Menhdawal Distt. Sant Kabir Nagar. ( Vidhayak Nidhi Menhdawal),1.0,5484320.0,KANCHAN ENTERPRISES,INR,"1,337,426",1,5485736,I. B. CHANDA.A CONSTRUCTION COMPANY,24-Aug-2025 06:02 PM,Rejected-Finance,L2,04-Sep-2025 01:43 PM,04-Sep-2025,"INR 1,337,426",90.0,Ramesh Bahadur Shahi,04-Sep-2025 03:13 PM,GhurapaliLOI.pdf (952.00 KB),M/s Kanchan Enterprises Found L1,Sri Ramesh bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,01-Sep-2025 03:21 PM,01-Sep-2025 04:30 PM,techsummary_1944178.pdf (388.04 KB),Finance,M/s KANCHAN ENTERPRISES Found L1,Ramesh Bahadur Shahi,04-Sep-2025 01:41 PM,finance_1944178.pdf,BOQ Comparative Chart,Sri Ramesh bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,04-Sep-2025 01:43 PM,finsummary_1944178.pdf (513.75 KB),Technical,M/s KANCHAN ENTERPRISES and M/s I. B. CHANDA.A CONSTRUCTION COMPANY Found,Ramesh Bahadur Shahi,01-Sep-2025 03:19 PM,technical_1944178.pdf,AOC,"27,000",No,fixed,,UPSCIDCO,Santkabir nagar,"1,652",UPSCIDCO,Santkabir nagar,No,Executive Engineer,"H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti",1.0,Date Exetended,Date,,1,FDR - Fixed Deposit,Construction of RCC Culvert work at Ghurapali Me Karai Samay Mata Ke Sthan Par Nale Par Block Menhdawal Distt. Sant Kabir Nagar. ( Vidhayak Nidhi Menhdawal),Construction of RCC Culvert work at Ghurapali Me Karai Samay Mata Ke Sthan Par Nale Par Block Menhdawal Distt. Sant Kabir Nagar. ( Vidhayak Nidhi Menhdawal),As given in NIT ,NA ,"13,39,838",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1087(2) Malviya road, near Roadways Tiraha,  ","H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti ",22-Aug-2025 12:00 PM ,UPSCIDCO BASTI,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,1045 /EE SKN /E-Tender / Vidhayak Nidhi Mehdawal SKN /2025-26 Dated 18 -08-2025,2025_SCIDC_1066417_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,19-Aug-2025 09:00 AM,27-Aug-2025 02:00 PM,19-Aug-2025 09:00 AM,27-Aug-2025 01:00 PM,19-Aug-2025 09:00 AM ,27-Aug-2025 01:00 PM ,19-Aug-2025 09:00 AM,27-Aug-2025 01:00 PM,01-Sep-2025 04:30 PM,AOC
,,,,,,,,,2,5484320,KANCHAN ENTERPRISES,26-Aug-2025 05:39 PM,Accepted-AOC,L1,04-Sep-2025 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,AOC
