Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC-II Allahabad,2025_UPTCL_1040912_1,10/ETC-II(P)/ 2025-2026,10/ETC-II(P)/ 2025-2026,1.0,5219415.0,CTR Manufacturing Industries Ltd.,INR,"781,377",1,5219415,CTR Manufacturing Industries Ltd.,29-May-2025 11:50 AM,Accepted-AOC,Ist Lowest,12-Sep-2025 01:22 PM,12-Sep-2025,"INR 781,377",60.0,GYANENDRA KUMAR,12-Sep-2025 01:22 PM,T10.pdf (3477.00 KB),"Maintenance & testing of Nitrogen Fire Protection system (including supply of material) installed at different substations under ETC-II, Prayagraj.",superintending Engineer,Internal,"Executive Engineer (A), Senior Account Officer",GYANENDRA KUMAR,11-Jun-2025 05:32 PM,finsummary_1888141.pdf (377.78 KB),Technical,PART Ist HAS BEEN OPENED OF E-T-NO.10,GYANENDRA KUMAR,11-Jun-2025 05:08 PM,technical_1888141.pdf,superintending Engineer,Internal,"Executive Engineer (A), Senior Account Officer",GYANENDRA KUMAR,11-Jun-2025 05:13 PM,11-Jun-2025 05:20 PM,techsummary_1888141.pdf (377.78 KB),Finance,PART IInd HAS BEEN OPENED OF E-T-NO.10,GYANENDRA KUMAR,11-Jun-2025 05:27 PM,finance_1888141.pdf,BOQ Comparative Chart,AOC,21-May-2025 09:00 AM,10-Jun-2025 01:00 PM,21-May-2025 09:00 AM,09-Jun-2025 05:00 PM,NA ,NA ,21-May-2025 09:00 AM,09-Jun-2025 05:00 PM,11-Jun-2025 05:20 PM,1.0,RTGS - RTGS Payment,1.0,Date10,Date,,"8,000",No,fixed,,Executive Engineer Electy. Trans. Div. Naini Alld.,PRAYAGRAJ.,Superintending Engineer,"Electricity Transmission Circle-II, U.P. Power Transmission Corporation Ltd. 57- George Town, Prayagraj.",590.0,Executive Engineer Electy. Trans. Div. Naini Alld.,PRAYAGRAJ.,No,1,Fee/PreQual/Technical,.pdf,"Tender cost and E.M.D. RTGS/NEFT slip, Tender document photocopy of Pan card, GSTIN, experience cop",10/ETC-II(P)/ 2025-2026,10/ETC-II(P)/ 2025-2026,Please refer Tender documents. ,NA ,"7,83,000",Electrical Works,NA ,Tender,120.0,60.0,ETC-II PRAYAGRAJ,211002.0,NA ,NA ,NA ,PRAYAGRAJ.,No ,No,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC-II Allahabad,10/ETC-II(P)/ 2025-2026,2025_UPTCL_1040912_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,2,5241816,TECTONICUS SERVICES INDIA PRIVATE LIMITED,09-Jun-2025 01:06 PM,Rejected-AOC,IInd Lowest,12-Sep-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
