Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Bid Document,"11,800","Project Manager, U.P. Projects Corporation Ltd",Bareilly,No,24-Mar-2025 10:00 AM,03-Apr-2025 03:00 PM,24-Mar-2025 10:00 AM,03-Apr-2025 01:00 PM,NA ,NA ,24-Mar-2025 10:00 AM,03-Apr-2025 01:00 PM,09-Apr-2025 03:00 PM,1.0,FDR - Fixed Deposit,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,21/PCL/GM/ZONE-2/BLY/2024-25,2025_UPPRC_1020893_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,General manager,"General Manager, Zone-2, U.P. Projects Corporation Ltd. 14, Chandra Shekar Nagar Colony, Tulasherpur, Bareilly","1,10,000",No,fixed,,"Project Manager, U.P. Projects Corporation Ltd",Bareilly,CONSTRUCTION OF ALL CHAKRA KE AHATA KI NALI AT CENTRAL JAIL BAREILLY (U.P.),CONSTRUCTION OF ALL CHAKRA KE AHATA KI NALI AT CENTRAL JAIL BAREILLY (U.P.),CONSTRUCTION OF ALL CHAKRA KE AHATA KI NALI AT CENTRAL JAIL BAREILLY (U.P.) ,NA ,"55,00,000",Civil Works,NA ,Tender,180.0,180.0,bareilly,243122.0,NA ,NA ,NA ,BAREILLY,No ,No,AOC,General Manager,Internal,,Rajeev Kumar Pandey,26-Sep-2025 03:29 PM,finsummary_1842330.pdf (1001.18 KB),Technical,Comparative,Rajeev Kumar Pandey,08-Apr-2025 03:23 PM,technical_1842330.pdf,General Manager,Internal,,Rajeev Kumar Pandey,08-Apr-2025 03:28 PM,09-Apr-2025 03:00 PM,techsummary_1842330.pdf (1001.18 KB),Finance,Financial Summary,Rajeev Kumar Pandey,26-Sep-2025 03:27 PM,finance_1842330.pdf,BOQ Comparative Chart,1,5084827,M. L. ENGINEERS,27-Mar-2025 02:45 PM,Rejected-Finance,Being II lowest,26-Sep-2025 03:29 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,2025_UPPRC_1020893_2,21/PCL/GM/ZONE-2/BLY/2024-25,CONSTRUCTION OF ALL CHAKRA KE AHATA KI NALI AT CENTRAL JAIL BAREILLY (U.P.),1.0,5098259.0,SAURABH ENTERPRISES,INR,"5,446,197.33",27-Sep-2025,"INR 5,446,197.33",180.0,Rajeev Kumar Pandey,26-Sep-2025 03:30 PM,Ag3.pdf (831.00 KB),AOC
2.0,Finance,.xls,Financial Bid Document,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5091109,N P CONSTRUCTION COMPANY,29-Mar-2025 01:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Apr-2025 03:23 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5098259,SAURABH ENTERPRISES,02-Apr-2025 04:58 PM,Accepted-AOC,Work awarded to M/S SAURABH ENTERPRISES,26-Sep-2025 03:30 PM,,,,,,,,,,,,,,,,AOC
