Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,46/E-TENDER/MEERUT-ZONE/24-25 DATED 10-03-2025,2025_UPRNS_1017209_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,FDR - Fixed Deposit,"6,490",EE,SAHARANPUR,No,1,Fee/PreQual/Technical,.pdf,Technical,28-Mar-2025 09:00 AM,05-Apr-2025 02:00 PM,28-Mar-2025 09:00 AM,05-Apr-2025 02:00 PM,NA ,NA ,28-Mar-2025 09:00 AM,05-Apr-2025 02:00 PM,15-Apr-2025 11:10 AM,"11,22,631",No,fixed,,EE UPRNSS,SAHARANPUR,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut",PROPOSED CONSTRUCTION OF DRISHTIBADHIT GIRLS 75 BEDED HOSTEL (CLASS IST TO 12TH) AT RAMPUR MANIHARAN DISTT-SAHARANPUR,PROPOSED CONSTRUCTION OF DRISHTIBADHIT GIRLS 75 BEDED HOSTEL (CLASS IST TO 12TH) AT RAMPUR MANIHARAN DISTT-SAHARANPUR,Please refer Tender documents. ,NA ,"5,61,31,570",Civil Works - Buildings,NA ,Tender,90.0,913.0,RAMPUR MANIHARAN,247451.0,NA ,NA ,NA ,MEERUT,No ,No,AOC,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,15-Apr-2025 03:46 PM,finsummary_1846648.pdf (297.85 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,15-Apr-2025 10:48 AM,technical_1846648.pdf,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,15-Apr-2025 10:52 AM,15-Apr-2025 11:10 AM,techsummary_1846648.pdf (681.25 KB),Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,15-Apr-2025 03:29 PM,finance_1846648.pdf,BOQ Comparative Chart,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1017209_2,46/E-TENDER/MEERUT-ZONE/24-25 DATED 10-03-2025,PROPOSED CONSTRUCTION OF DRISHTIBADHIT GIRLS 75 BEDED HOSTEL (CLASS IST TO 12TH) AT RAMPUR MANIHARAN DISTT-SAHARANPUR,1.0,5103056.0,M/s Wasim Ahamad,INR,"56,047,372.51",1,5102972,AMITRAJ DEVELOPERS PRIVATE LIMITED,04-Apr-2025 09:40 PM,Rejected-Finance,Quoted Rates Are Higher,15-Apr-2025 03:46 PM,29-Apr-2025,"INR 56,047,372.51",913.0,Rakesh Kumar Chaurasia,10-Sep-2025 05:03 PM,WORKORDERDrastibadhitRampurManiharanSRESigned.pdf (1127.00 KB),Tender Awarded,AOC
,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5103056,M/s Wasim Ahamad,04-Apr-2025 10:49 PM,Accepted-AOC,L1,10-Sep-2025 05:04 PM,,,,,,,,AOC
