Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
EE RED Jhansi,EE RED Jhansi,25-Jun-2025 03:00 PM,18-Jul-2025 03:30 PM,25-Jun-2025 03:00 PM,18-Jul-2025 12:00 PM,NA ,NA ,25-Jun-2025 03:00 PM,18-Jul-2025 12:00 PM,01-Aug-2025 12:30 PM,1.0,date1,Date,,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,421/EE/RED/Tender/25-26 Dt. 14-05-2025,2025_REDUP_1051853_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,Vikas Khand bamaur ke Gram Erach main Madiyaghat ke liye pul se aage ki aur C.C road ka nirman karya.,Vikas Khand bamaur ke Gram Erach main Madiyaghat ke liye pul se aage ki aur C.C road ka nirman karya.,Please refer Tender documents. ,NA ,"33,39,000",Civil Works,NA ,Tender,90.0,180.0,Vikas Khand bamaur ke Gram Erach main Madiyaghat k,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1,Fee/PreQual/Technical,.pdf,SBD,"1,67,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,AOC,1.0,5285994.0,ms manoj kumar thekedar,INR,"3,318,439",Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,18-Sep-2025 02:19 PM,finsummary_1912235.pdf (422.44 KB),Finance,final,RAJNEESH KUMAR,18-Sep-2025 01:53 PM,finance_1912235.pdf,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2025_REDUP_1051853_12,421/EE/RED/Tender/25-26 Dt. 14-05-2025,Vikas Khand bamaur ke Gram Erach main Madiyaghat ke liye pul se aage ki aur C.C road ka nirman karya.,1,5286004,LUCKY ENTERPRISES,07-Jul-2025 06:55 PM,Rejected-Finance,n,18-Sep-2025 02:19 PM,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,26-Jul-2025 05:55 PM,01-Aug-2025 12:30 PM,techsummary_1912235.pdf (647.71 KB),18-Sep-2025,"INR 3,318,439",180.0,RAJNEESH KUMAR,18-Sep-2025 02:26 PM,airach123.pdf (422.00 KB),final,Technical,FINAL,RAJNEESH KUMAR,26-Jul-2025 05:53 PM,technical_1912235.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5285994,ms manoj kumar thekedar,08-Jul-2025 04:55 AM,Accepted-AOC,y,18-Sep-2025 02:26 PM,,,,,,,,,,,,,,,,,,,,AOC
