Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
28-Jun-2025 05:00 PM,10-Jul-2025 12:30 PM,28-Jun-2025 05:00 PM,10-Jul-2025 12:00 PM,NA ,NA ,28-Jun-2025 05:00 PM,10-Jul-2025 12:00 PM,15-Jul-2025 12:20 PM,944.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"38,000",Yes,fixed,,Nil,Nil,RAJKIY BALIKA INTER CALLEGE TODERPUR HARDOI ME ANURACHDH KAY,RAJKIY BALIKA INTER CALLEGE TODERPUR HARDOI ME ANURACHDH KAY,RAJKIY BALIKA INTER CALLEGE TODERPUR HARDOI ME ANURACHDH KAY ,NA ,"18,95,000",Civil Works,NA ,Tender,90.0,90.0,HARDOI,241001.0,NA ,NA ,NA ,E E R E D VIKAS BHAWAN HARDOI,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,LETTAR NO 460 DATE 16.06.2025,2025_REDUP_1052761_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,E E R E D VIKAS BHAWAN HARDOI,E E R E D VIKAS BHAWAN HARDOI,AOC,EE,Internal,EE AE DAO,Pradeep Pal,15-Jul-2025 12:03 PM,15-Jul-2025 12:20 PM,techsummary_1914284.pdf (564.69 KB),Finance,EE AE DAO,Pradeep Pal,26-Jul-2025 05:23 PM,finance_1914284.pdf,BOQ Comparative Chart,EE,Internal,EE AE DAO,Pradeep Pal,26-Jul-2025 05:28 PM,finsummary_1914284.pdf (418.99 KB),Technical,EE AE DAO,Pradeep Pal,15-Jul-2025 11:57 AM,technical_1914284.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,2025_REDUP_1052761_1,LETTAR NO 460 DATE 16.06.2025,RAJKIY BALIKA INTER CALLEGE TODERPUR HARDOI ME ANURACHDH KAY,1.0,5308386.0,SWARNA CONSTRUCTION & SUPPLIERS,INR,"1,200,451.903",1,5309711,BAJPAI CONTRACTORS AND SUPPLIERS,10-Jul-2025 08:44 AM,Rejected-Technical,NON-RESPONSIVE,15-Jul-2025 12:03 PM,01-Sep-2025,"INR 1,200,451.903",90.0,Pradeep Pal,01-Sep-2025 05:03 PM,bo.pdf (449.00 KB),EE AE DAO,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5307524,BALAJI CONSTRUCTION AND SUPPLIERS,09-Jul-2025 08:04 PM,Rejected-Finance,RESPONSIVE,26-Jul-2025 05:28 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5300801,DHEERU TRADERS,08-Jul-2025 06:19 PM,Rejected-Finance,RESPONSIVE,26-Jul-2025 05:28 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5301244,MAA VAISHNO CIVIL SERVICES,08-Jul-2025 06:46 PM,Rejected-Technical,NON-RESPONSIVE,15-Jul-2025 12:03 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5302193,M/S Ram Sewak Har Govind Sahai,08-Jul-2025 09:43 PM,Rejected-Finance,RESPONSIVE,26-Jul-2025 05:28 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5309631,M/S REYANSH TRADERS AND SUPPLIERS,10-Jul-2025 08:19 AM,Rejected-Technical,NON-RESPONSIVE,15-Jul-2025 12:03 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5306752,M/S SANKAT MOCHAN CONSTRUCTION,09-Jul-2025 09:24 PM,Rejected-Finance,RESPONSIVE,26-Jul-2025 05:28 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5300401,SRI HANUMAN CONSTRUCTION,08-Jul-2025 04:54 PM,Rejected-Finance,RESPONSIVE,26-Jul-2025 05:28 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5308386,SWARNA CONSTRUCTION & SUPPLIERS,09-Jul-2025 11:14 PM,Accepted-AOC,RESPONSIVE,01-Sep-2025 05:04 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5308332,VINAY KUMAR MISHRA THEKEDAR,09-Jul-2025 11:01 PM,Rejected-Finance,RESPONSIVE,26-Jul-2025 05:28 PM,,,,,,,,AOC
