Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Executive Engineer,Internal,,Shachindra Singh,16-Jul-2025 10:08 AM,16-Jul-2025 12:00 PM,techsummary_1913743.pdf (301.15 KB),01-Aug-2025,"INR 2,002,295",90.0,Shachindra Singh,12-Sep-2025 02:23 PM,bpdf.pdf (154.00 KB),Technical,Opend,Shachindra Singh,11-Jul-2025 11:25 AM,,1.0,5287852.0,M/S AWADHESH SINGH,INR,"2,002,294.29",Executive Engineer,Internal,,Shachindra Singh,19-Jul-2025 03:12 PM,finsummary_1913743.pdf (154.33 KB),Finance,Opend,AMIT KUMAR RAJ,19-Jul-2025 12:02 PM,,BOQ Comparative Chart,1,5287852,M/S AWADHESH SINGH,07-Jul-2025 02:47 PM,Accepted-AOC,L1,12-Sep-2025 02:23 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2025_REDUP_1052437_22,731/EE/RED/GKP/25-26 date 09-06-25,Block-Brahmpur Gram Panchayat Naduwa Gyanpaar mein Ram Lalit Mishra ke Khet se Shivnand Nishad Hote Hue Bechani Devi ke Ghar Tak CC Road Ka Nirman,AOC,1,Fee/PreQual/Technical,.pdf,Technical,Block-Brahmpur Gram Panchayat Naduwa Gyanpaar mein Ram Lalit Mishra ke Khet se Shivnand Nishad Hote Hue Bechani Devi ke Ghar Tak CC Road Ka Nirman,Block-Brahmpur Gram Panchayat Naduwa Gyanpaar mein Ram Lalit Mishra ke Khet se Shivnand Nishad Hote Hue Bechani Devi ke Ghar Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"20,04,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikhash Bhawan,No ,No,30-Jun-2025 09:00 AM,09-Jul-2025 09:00 AM,30-Jun-2025 09:00 AM,08-Jul-2025 12:00 PM,NA ,NA ,30-Jun-2025 09:00 AM,08-Jul-2025 12:00 PM,16-Jul-2025 12:00 PM,896.0,Nil,Nil,No,Executive Engineer,Vikash Bhawan,"40,080",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,731/EE/RED/GKP/25-26 date 09-06-25,2025_REDUP_1052437_22,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5289168,M/S R.K.TRADERS,07-Jul-2025 05:03 PM,Rejected-AOC,L2,12-Sep-2025 02:23 PM,,,,,AOC,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
