S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,"32,000",No,fixed,,Nil,Nil,06-Aug-2025 06:55 PM,12-Aug-2025 12:30 PM,06-Aug-2025 06:55 PM,12-Aug-2025 12:00 PM,NA ,NA ,06-Aug-2025 06:55 PM,12-Aug-2025 12:00 PM,21-Aug-2025 12:30 PM,"Construction of RCC covered drain from the field of Ankit Awasthi of Chambal Bagh to the drain built earlier in village Tanda Salar, Block- Laharpur","Construction of RCC covered drain from the field of Ankit Awasthi of Chambal Bagh to the drain built earlier in village Tanda Salar, Block- Laharpur",Please refer Tender documents. ,NA ,"15,70,425",Civil Works,NA ,Tender,90.0,90.0,"Laharpur, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,944.0,Nil,Nil,No,EE RED Sitapur,"Vikas Bhawan, Sitapur",1,Fee/PreQual/Technical,.pdf,Technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,621/RED/Tender/2025-26,2025_REDUP_1063802_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,13-Aug-2025 12:13 PM,,Gyanendra Kumar,Internal,,Gyanendra Kumar,06-Sep-2025 05:00 PM,finsummary_1938589.pdf (176.04 KB),Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,22-Aug-2025 11:52 AM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,20-Aug-2025 04:07 PM,21-Aug-2025 12:30 PM,techsummary_1938589.pdf (311.92 KB),08-Sep-2025,"INR 1,569,640",90.0,Gyanendra Kumar,16-Sep-2025 01:29 PM,119.pdf (313.00 KB),1.0,5415288.0,M/S ABDUL SAYEED CONTRACTOR,INR,"1,569,640",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2025_REDUP_1063802_4,621/RED/Tender/2025-26,"Construction of RCC covered drain from the field of Ankit Awasthi of Chambal Bagh to the drain built earlier in village Tanda Salar, Block- Laharpur",1,5415288,M/S ABDUL SAYEED CONTRACTOR,10-Aug-2025 04:37 PM,Accepted-AOC,L1,16-Sep-2025 01:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5412604,M/S KALPNA DEVI,08-Aug-2025 06:43 PM,Rejected-Finance,Higher Rate Quoted,06-Sep-2025 05:00 PM,AOC
