Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE Construction Division - 2 Budaun,512/7 Nivida (E.T.)8/20 Dated 24-01-2020,2020_CEBLY_428479_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,IFB,30-Jan-2020 09:00 AM,05-Feb-2020 02:30 PM,30-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,NA ,NA ,30-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,14-Feb-2020 12:30 PM,"13,20,000",Yes,fixed,,"Superintending Engineer, Budaun/Pilibhit Circle, P",Bareilly,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,"2,714","Executive Engineer Construction Division-2, P.W.D.",Budaun,No,Superintending Engineer,"O/o Superintending Engineer, Budaun/Pilibhit Circle, P.W.D., Bareilly",Widening and Strengthening of Majhiya to Kachari Shekhupur Sakri Jungle road (ODR) chainage 0.00 to 3.525 in District Budaun.,Please Refer Tender Document,Please refer Tender documents. ,NA ,"6,60,00,000",Civil Works,NA ,Tender,90.0,240.0,Budaun,243601.0,Bareilly ,"O/o Superintending Engineer, Budaun/Pilibhit Circle, P.W.D., Bareilly ",30-Jan-2020 12:00 PM ,Bareilly,No ,No,Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE Construction Division - 2 Budaun,512/7 Nivida (E.T.)8/20 Dated 24-01-2020,2020_CEBLY_428479_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,IFB,30-Jan-2020 09:00 AM,05-Feb-2020 02:30 PM,30-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,NA ,NA ,30-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,14-Feb-2020 12:30 PM,"13,20,000",Yes,fixed,,"Superintending Engineer, Budaun/Pilibhit Circle, P",Bareilly,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,"2,714","Executive Engineer Construction Division-2, P.W.D.",Budaun,No,Superintending Engineer,"O/o Superintending Engineer, Budaun/Pilibhit Circle, P.W.D., Bareilly",Widening and Strengthening of Majhiya to Kachari Shekhupur Sakri Jungle road (ODR) chainage 0.00 to 3.525 in District Budaun.,Please Refer Tender Document,Please refer Tender documents. ,NA ,"6,60,00,000",Civil Works,NA ,Tender,90.0,240.0,Budaun,243601.0,Bareilly ,"O/o Superintending Engineer, Budaun/Pilibhit Circle, P.W.D., Bareilly ",30-Jan-2020 12:00 PM ,Bareilly,No ,No,06-Mar-2020,"INR 64,246,079.74",240.0,HEMANT SINGH,06-Mar-2020 12:38 PM,AOC.pdf (528.00 KB),Lowest Amount Quoted By M/s Om Construction,1.0,1582341.0,M/S OM CONSTRUCTION,INR,"64,246,079.74",1.0,1578786.0,M/S ANIL KUMAR,05-Feb-2020 07:57 AM,Rejected-Technical,Non Responsive,13-Feb-2020 06:58 PM,Finance,Financial Bids opened. Lowest rate quoted by M/s Om Construction. Budaun.,HEMANT SINGH,05-Mar-2020 05:49 PM,None,BOQ Comparative Chart,D K Mishra,Internal,Hemant Singh and Pramod Kumar,HEMANT SINGH,05-Mar-2020 05:59 PM,finsummary_627716.pdf (777.06 KB),1.0,1582341.0,M/S OM CONSTRUCTION,"6,52,31,639.69",L1,Technical,OK,HEMANT SINGH,05-Feb-2020 03:47 PM,None,D K Tiwari,Internal,Hemnat Singh and Pramod Kumar,HEMANT SINGH,13-Feb-2020 06:58 PM,14-Feb-2020 12:30 PM,techsummary_627716.pdf (18.24 KB),,,
,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1581703.0,m/s hanu infrastructure pvt ltd,04-Feb-2020 09:23 PM,Rejected-Technical,Non Responsive,13-Feb-2020 06:58 PM,,,,,,,,,,,,,2.0,1582596.0,M/S R.K.Gupta Contractor,"6,59,93,586.07",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1582037.0,M/s Kaiser Construction Engineers and Contractor,04-Feb-2020 11:06 PM,Rejected-Technical,Non Responsive,13-Feb-2020 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1582341.0,M/S OM CONSTRUCTION,05-Feb-2020 12:41 AM,Accepted-AOC,Lowest Bidders,06-Mar-2020 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1582052.0,M/S RAKESH PRATAP SINGH CHAUHAN,04-Feb-2020 10:23 PM,Rejected-Technical,Non Responsive,13-Feb-2020 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1582596.0,M/S R.K.Gupta Contractor,05-Feb-2020 11:07 AM,Rejected-Finance,Accepted bing 2st lowest tender,05-Mar-2020 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1581835.0,M/s Shree Sai Constructions,04-Feb-2020 10:08 PM,Rejected-Technical,Non Responsive,13-Feb-2020 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1581043.0,S S CONSTRUCTIONS,04-Feb-2020 12:44 PM,Rejected-Technical,Non Responsive,13-Feb-2020 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Machinery Details ,NIC UPSU ,NIC UPSU Lucknow ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Machinery Details ,NIC UPSU ,NIC UPSU Lucknow ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
