Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 1 (Civil) PWD Lucknow,4142/Tender/2019 Dt. 17.12.2019,2019_PWDBL_417582_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document,28-Dec-2019 06:55 PM,13-Jan-2020 12:30 PM,01-Jan-2020 12:00 PM,13-Jan-2020 12:00 PM,NA ,NA ,01-Jan-2020 12:00 PM,13-Jan-2020 12:00 PM,"5,000",No,fixed,,"E. E. Maintenance Division No 1(Civil), PWD, Luckn",Lucknow,1.0,Correction in Date,Date,,1.0,SBI Bank,550.0,"E. E. Maintenance Division No 1(Civil), PWD, Luckn",Lucknow,No,"E. E. Maintenance Division No 1(Civil), PWD, Luckn","OFFICE OF Executive Engineer, Maintenance Division No 1(Civil), PWD, Lucknow.","Under 2216 Special repair head different civil maintenance work in house no. B-32, sector-5, Indira nagar colony, Lucknow.","Under 2216 Special repair head different civil maintenance work in house no. B-32, sector-5, Indira nagar colony, Lucknow.",Please refer Tender documents. ,NA ,"51,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Lucknow,226001.0,"E. E. Maintenance Division No 1(Civil), PWD, Luckn ","OFFICE OF Executive Engineer, Maintenance Division No 1(Civil), PWD, Lucknow.  ",03-Jan-2020 12:00 PM ,"E. E. Maintenance Division No 1(Civil), PWD, Luckn",No ,No,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 1 (Civil) PWD Lucknow,4142/Tender/2019 Dt. 17.12.2019,2019_PWDBL_417582_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document,28-Dec-2019 06:55 PM,13-Jan-2020 12:30 PM,01-Jan-2020 12:00 PM,13-Jan-2020 12:00 PM,NA ,NA ,01-Jan-2020 12:00 PM,13-Jan-2020 12:00 PM,"5,000",No,fixed,,"E. E. Maintenance Division No 1(Civil), PWD, Luckn",Lucknow,1.0,Correction in Date,Date,,1.0,SBI Bank,550.0,"E. E. Maintenance Division No 1(Civil), PWD, Luckn",Lucknow,No,"E. E. Maintenance Division No 1(Civil), PWD, Luckn","OFFICE OF Executive Engineer, Maintenance Division No 1(Civil), PWD, Lucknow.","Under 2216 Special repair head different civil maintenance work in house no. B-32, sector-5, Indira nagar colony, Lucknow.","Under 2216 Special repair head different civil maintenance work in house no. B-32, sector-5, Indira nagar colony, Lucknow.",Please refer Tender documents. ,NA ,"51,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Lucknow,226001.0,"E. E. Maintenance Division No 1(Civil), PWD, Luckn ","OFFICE OF Executive Engineer, Maintenance Division No 1(Civil), PWD, Lucknow.  ",03-Jan-2020 12:00 PM ,"E. E. Maintenance Division No 1(Civil), PWD, Luckn",No ,No,15-Jan-2020,"INR 46,615",90.0,Ashwini Kumar Misra,02-Mar-2020 11:33 AM,288_2019_PWDBL_417582_4.pdf (452.00 KB),Contract has been awarded after Acceptance of the bid,1.0,1531365.0,M/S SHAN TRADERS,INR,"46,415",1.0,1531285.0,M/S NISAR ENTERPRISES,03-Jan-2020 05:13 PM,Rejected-Technical,being high rate,13-Jan-2020 06:17 PM,Finance,M/S SHAN TRADERS. L1 M/S NISAR ENTERPRISES . L2,Ashwini Kumar Misra,13-Jan-2020 04:41 PM,None,BOQ Comparative Chart,"Vinod Kumar Jain, Ashwini Kumar Misra, Sunil kant",Internal,"Vinod Kumar Jain, Ashwini Kumar Misra, Sunil kant",Ashwini Kumar Misra,14-Jan-2020 01:13 PM,finsummary_610290.pdf (345.97 KB),1.0,1531365.0,M/S SHAN TRADERS,"49,437.19",L1,"Vinod Kumar Jain, Ashwini Kumar Misra, Sunil kant",Internal,"Vinod Kumar Jain, Ashwini Kumar Misra, Sunil kant",Ashwini Kumar Misra,13-Jan-2020 06:17 PM,techsummary_610290.pdf (345.97 KB),,,
,,,,,,,,,,,,,,,,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1531365.0,M/S SHAN TRADERS,03-Jan-2020 05:56 PM,Accepted-AOC,Accepted due to lowest rate,02-Mar-2020 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_PWDBL_417582_4,4142/Tender/2019 Dt. 17.12.2019,"Under 2216 Special repair head different civil maintenance work in house no. B-32, sector-5, Indira nagar colony, Lucknow."
