Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||LMBDGC, mathura",07/EE/LOWER MAT/2019-20,2019_UPIDC_417727_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,01-Jan-2020 10:00 AM,07-Jan-2020 02:00 PM,01-Jan-2020 10:00 AM,07-Jan-2020 12:00 PM,NA ,NA ,01-Jan-2020 10:00 AM,07-Jan-2020 12:00 PM,22-Jan-2020 12:20 PM,"64,000",No,fixed,,"EE, LMBDGC, MATHURA",MATHURA,1.0,DD - Demand Draft,354.0,"EE, LMBDGC, MATHURA",MATHURA,No,Executive Engineer,"LMBDGC, MATHURA",LOT No. 15,Repairing of pre constructed service road (Gaddha mukti) from KM 31.000 to 32.700of Kursanda DY.,Please refer Tender documents. ,NA ,"31,74,000",Civil Works - Canal,NA ,Tender,90.0,60.0,"LMBDGC, MATHURA",281001.0,NA ,NA ,NA ,"LMBDGC, MATHURA",No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||LMBDGC, mathura",07/EE/LOWER MAT/2019-20,2019_UPIDC_417727_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,01-Jan-2020 10:00 AM,07-Jan-2020 02:00 PM,01-Jan-2020 10:00 AM,07-Jan-2020 12:00 PM,NA ,NA ,01-Jan-2020 10:00 AM,07-Jan-2020 12:00 PM,22-Jan-2020 12:20 PM,"64,000",No,fixed,,"EE, LMBDGC, MATHURA",MATHURA,1.0,DD - Demand Draft,354.0,"EE, LMBDGC, MATHURA",MATHURA,No,Executive Engineer,"LMBDGC, MATHURA",LOT No. 15,Repairing of pre constructed service road (Gaddha mukti) from KM 31.000 to 32.700of Kursanda DY.,Please refer Tender documents. ,NA ,"31,74,000",Civil Works - Canal,NA ,Tender,90.0,60.0,"LMBDGC, MATHURA",281001.0,NA ,NA ,NA ,"LMBDGC, MATHURA",No ,No,07-Mar-2020,"INR 2,123,622",60.0,Subhash Chandra,12-Mar-2020 01:42 PM,C3.pdf (276.00 KB),AOC,1.0,1535015.0,M/s Agre Associates,INR,"2,123,622",1.0,1535064.0,CHESTA CONSTRUCTION,06-Jan-2020 08:22 PM,Rejected-Technical,Reject,22-Jan-2020 12:18 PM,Finance,Summary,Subhash Chandra,23-Jan-2020 04:43 PM,finance_610509.pdf,BOQ Comparative Chart,Subhash Chand,Internal,"Subhash Chand, Trilok Chand",Subhash Chandra,23-Jan-2020 05:04 PM,finsummary_610509.pdf (127.22 KB),1.0,1533578.0,M/S PRADEEP ASSOCIATES,"22,97,970.00",L3,Technical,Report,Subhash Chandra,22-Jan-2020 12:11 PM,technical_610509.pdf,Subhash Chand,Internal,"Subhash Chand, Trilok Chand",Subhash Chandra,22-Jan-2020 12:18 PM,22-Jan-2020 12:20 PM,techsummary_610509.pdf (50.04 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1534484.0,JITENDRA SINGH CONSTRUCTION,06-Jan-2020 03:22 PM,Rejected-AOC,Found,12-Mar-2020 01:43 PM,,,,,,,,,,,,,2.0,1534484.0,JITENDRA SINGH CONSTRUCTION,"21,36,119.00",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1535140.0,J S CONSTRUCTION,06-Jan-2020 10:20 PM,Rejected-Technical,Reject,22-Jan-2020 12:18 PM,,,,,,,,,,,,,3.0,1535015.0,M/s Agre Associates,"21,33,912.00",L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1535015.0,M/s Agre Associates,06-Jan-2020 08:23 PM,Accepted-AOC,Found,12-Mar-2020 01:43 PM,,,,,,,,,,,,,4.0,1535403.0,PRAVEEN KUMAR SARASWAT CONTRACTOR,"23,64,449.65",L4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1534979.0,M/S ANOOP SINGH,06-Jan-2020 08:07 PM,Rejected-Technical,Reject,22-Jan-2020 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1533578.0,M/S PRADEEP ASSOCIATES,05-Jan-2020 09:42 PM,Rejected-AOC,Found,12-Mar-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1534838.0,m/s V.D. CONTRACTOR AND SUPPLIER,06-Jan-2020 06:38 PM,Rejected-Technical,Reject,22-Jan-2020 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1535403.0,PRAVEEN KUMAR SARASWAT CONTRACTOR,07-Jan-2020 10:49 AM,Rejected-AOC,Found,12-Mar-2020 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1535177.0,Ram Kumar Sharma,06-Jan-2020 09:49 PM,Rejected-Technical,Reject,22-Jan-2020 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_UPIDC_417727_11,07/EE/LOWER MAT/2019-20,LOT No. 15
