Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,402/E.E./Azh/2019-20 Dt. 5.10.2019,2019_SCIDC_389277_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,FeePreQual/Technical,05-Oct-2019 11:00 AM,11-Oct-2019 03:00 PM,05-Oct-2019 11:00 AM,11-Oct-2019 02:00 PM,NA ,NA ,05-Oct-2019 11:00 AM,11-Oct-2019 02:00 PM,19-Oct-2019 04:20 PM,"42,500",Yes,fixed,,UPSCIDCO LTD,BALLIA,1.0,DD - Demand Draft,"1,298",UPSCIDCO LTD,BALLIA,Yes,Executive Engineer Azamgarh,Ma Shanti Niwas Op. Dr. Javed Aarajibagh Azamgarh,Electrical work A.T.S.Husainabad in Distt-Ballia,Electrical work A.T.S.Husainabad in Distt-Ballia,Electrical work A.T.S.Husainabad in Distt-Ballia ,NA ,"21,08,707",Electrical Works,NA ,Tender,90.0,NA ,Executive Engineer UPSCIDCO Ltd Azamgarh,276001.0,NA ,NA ,NA ,Executive Engineer Office Azamgarh,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,402/E.E./Azh/2019-20 Dt. 5.10.2019,2019_SCIDC_389277_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,FeePreQual/Technical,05-Oct-2019 11:00 AM,11-Oct-2019 03:00 PM,05-Oct-2019 11:00 AM,11-Oct-2019 02:00 PM,NA ,NA ,05-Oct-2019 11:00 AM,11-Oct-2019 02:00 PM,19-Oct-2019 04:20 PM,"42,500",Yes,fixed,,UPSCIDCO LTD,BALLIA,1.0,DD - Demand Draft,"1,298",UPSCIDCO LTD,BALLIA,Yes,Executive Engineer Azamgarh,Ma Shanti Niwas Op. Dr. Javed Aarajibagh Azamgarh,Electrical work A.T.S.Husainabad in Distt-Ballia,Electrical work A.T.S.Husainabad in Distt-Ballia,Electrical work A.T.S.Husainabad in Distt-Ballia ,NA ,"21,08,707",Electrical Works,NA ,Tender,90.0,NA ,Executive Engineer UPSCIDCO Ltd Azamgarh,276001.0,NA ,NA ,NA ,Executive Engineer Office Azamgarh,No ,No,26-Oct-2019,"INR 2,108,707",90.0,Pawan Yadav,21-Mar-2020 04:41 PM,finsummary_562961.pdf (571.00 KB),Electrical work A.T.S.Husainabad in Distt-Ballia,1.0,1401616.0,RAM JANM SINGH,INR,"2,108,496.13",1.0,1404230.0,M/S MANOJ KUMAR SINGH,11-Oct-2019 07:47 AM,Rejected-Technical,Electrecals Licences is not Avlebal,19-Oct-2019 04:06 PM,Finance,Boq Summary,Pawan Yadav,19-Oct-2019 04:42 PM,finance_562961.pdf,BOQ Comparative Chart,Pawan Kumar Yadav EE,Internal,"Dinesh Kumar Dwivedi A.E., Pawan Kumar Acctt.",Pawan Yadav,26-Oct-2019 10:08 AM,finsummary_562961.pdf (559.43 KB),1.0,1401616.0,RAM JANM SINGH,"21,08,496.13",L1,Technical,Opning summary,Pawan Yadav,17-Oct-2019 01:17 PM,technical_562961.pdf,"P.K.Yadav, E.E.",Internal,"D.K. dwivedi, Pawan Kumar Acctt.",Pawan Yadav,19-Oct-2019 04:06 PM,19-Oct-2019 04:20 PM,techsummary_562961.pdf (537.51 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1401750.0,RAJ KISHOR SINGH,09-Oct-2019 06:42 PM,Rejected-Technical,Electrecals Licences is not Avlebal,19-Oct-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1401616.0,RAM JANM SINGH,09-Oct-2019 06:31 PM,Accepted-AOC,Billow Rate From Outher Bidders,21-Mar-2020 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_SCIDC_389277_1,402/E.E./Azh/2019-20 Dt. 5.10.2019,Electrical work A.T.S.Husainabad in Distt-Ballia
