Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.3,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.4,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.5,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE CONSTRUCTION DIVISION PWD BADAUN,56/Nivida(E.T.)/19 Dated 10-01-2020,2020_CEBLY_423045_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,17-Jan-2020 09:00 AM,05-Feb-2020 03:00 PM,17-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,NA ,NA ,17-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,07-Mar-2020 11:00 AM,"1,85,000",Yes,fixed,,Executive Engineer Construction Division PWD,Budaun,1.0,Extended Date,Date,,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,856.0,Executive Engineer Construction Division PWD,Budaun,No,Executive Engineer Const. Div. PWD Budaun,O/o Executive Engineer Construction division Pwd Budaun,Supply of Grit and Dust at Hot Mix Plant Bisauli for Renewal or Special Repair or Patch Repair of Other District Roads and Main District Roads in Year 2020-21 Under Bisauli Constituency,Supply of Grit and Dust at Hot Mix Plant Bisauli for Renewal or Special Repair or Patch Repair of Other District Roads and Main District Roads in Year 2020-21 Under Bisauli Constituency,Please refer Tender documents. ,NA ,"18,50,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Budaun,243601.0,Budaun ,O/o Executive Engineer Construction division Pwd Budaun ,24-Jan-2020 12:00 PM ,Budaun,No ,No,Cheif Engineer Bareilly Zone PWD Bareilly||SE BADAUN-PILIBHIT CIRCLE PWD BAREILLY||EE CONSTRUCTION DIVISION PWD BADAUN,56/Nivida(E.T.)/19 Dated 10-01-2020,2020_CEBLY_423045_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,17-Jan-2020 09:00 AM,05-Feb-2020 03:00 PM,17-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,NA ,NA ,17-Jan-2020 09:00 AM,05-Feb-2020 12:00 PM,07-Mar-2020 11:00 AM,"1,85,000",Yes,fixed,,Executive Engineer Construction Division PWD,Budaun,1.0,Extended Date,Date,,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,856.0,Executive Engineer Construction Division PWD,Budaun,No,Executive Engineer Const. Div. PWD Budaun,O/o Executive Engineer Construction division Pwd Budaun,Supply of Grit and Dust at Hot Mix Plant Bisauli for Renewal or Special Repair or Patch Repair of Other District Roads and Main District Roads in Year 2020-21 Under Bisauli Constituency,Supply of Grit and Dust at Hot Mix Plant Bisauli for Renewal or Special Repair or Patch Repair of Other District Roads and Main District Roads in Year 2020-21 Under Bisauli Constituency,Please refer Tender documents. ,NA ,"18,50,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Budaun,243601.0,Budaun ,O/o Executive Engineer Construction division Pwd Budaun ,24-Jan-2020 12:00 PM ,Budaun,No ,No,19-Mar-2020,"INR 1,798,131.93",60.0,PRAMOD KUMAR,19-Mar-2020 12:18 PM,AcceptanceAEIIpatch.pdf (935.00 KB),"Lowest rate quoted by M/s Smt Vijay Singh Contractor, Ambikapuri Civil LIne Budaun from the Departmental Rate.",1.0,1580414.0,M/S SMT. VIJAY SINGH THEKEDAR,INR,"1,798,131.93",1.0,1566827.0,JAGMOHAN SINGH CONTRACTOR,02-Feb-2020 10:03 PM,Rejected-Technical,Technical Person detail not attached,06-Mar-2020 04:28 PM,Finance,"Lowest rate quoted by M/s Smt. Vijay Singh Contactor, Civil Line Budaun.",PRAMOD KUMAR,07-Mar-2020 02:27 PM,finance_618601.pdf,BOQ Comparative Chart,D.K. Mishra,Internal,Hemant and Pramod Kumar,PRAMOD KUMAR,19-Mar-2020 12:12 PM,finsummary_618601.pdf (202.10 KB),1.0,1580414.0,M/S SMT. VIJAY SINGH THEKEDAR,"18,09,633.84",1.0,Technical,Bids Opened. Only 3 Bids Received for Technical Evaluation.,PRAMOD KUMAR,05-Feb-2020 04:12 PM,technical_618601.pdf,D.K. Mishra,Internal,Hemant Singh and Pramod Kumar,PRAMOD KUMAR,06-Mar-2020 04:28 PM,07-Mar-2020 11:00 AM,techsummary_618601.pdf (202.10 KB),,,
,,,,,,,,,,,,,,,,.pdf,T1,,,,,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T1,,,,,,,,,,,,,,,,,,,,2.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1580426.0,M/S M.K.BUILDERS,05-Feb-2020 10:16 AM,Rejected-Finance,High rate quoted by the contractor instead of the 1st rank holder bidder,19-Mar-2020 12:12 PM,,,,,,,,,,,,,2.0,1580426.0,M/S M.K.BUILDERS,"18,25,700.00",2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,3.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1580414.0,M/S SMT. VIJAY SINGH THEKEDAR,05-Feb-2020 03:22 AM,Accepted-AOC,"Lowest rate quoted by M/s Smt Vijay Singh Contractor, Ambikapuri Civil LIne Budaun from the Departmental Rate",19-Mar-2020 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Financial Details ,Certificates from Bankers ,Certificates from Bankers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Machinery Details ,Machinery Details ,Machinery Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
