object_id,Repair and Restoration_tenders_awarded_value,timeperiod
09-145-00761,717485.28,2026_01
09-145-00764,331533.82999999996,2026_01
09-152-00793,228802.75,2026_01
09-154-00805,3065179.51,2026_01
09-156-00814,233507.79,2026_01
09-182-00925,152456.52000000002,2026_01
09-182-00926,153692.05,2026_01
09-184-00932,157792.83000000002,2026_01
09-184-00934,92954.43,2026_01
09-184-00935,164180.0,2026_01
09-184-00936,61231.16,2026_01
09-185-00937,55253.08,2026_01
09-185-00940,87117.56,2026_01
09-191-00965,108611.0,2026_01
09-191-00966,118036.95,2026_01
09-191-00967,61545.0,2026_01
09-191-00968,353859.59,2026_01
09-191-00969,118559.0,2026_01
09-191-00970,128254.3,2026_01
09-185-00939,3950767.0,2026_02
09-193-00978,10372112.0,2024_03
09-153-00801,28465400.0,2026_04
09-154-00804,53359801.8,2026_04
09-183-00928,33810020.0,2026_04
09-186-00941,62571196.45,2026_04
09-188-00950,22324963.9,2026_04
09-195-00989,37146928.0,2026_04
09-196-00993,34790618.64,2026_04
09-168-00864,1052605.53,2020_02
09-168-00867,1925230.54,2020_02
09-132-00702,689189.0,2020_01
09-135-00719,1444271.44,2020_01
09-138-00734,362379.0,2020_01
09-145-00764,12952058.38,2020_01
09-146-00766,99582257.0,2020_01
09-148-00777,166730.0,2020_01
09-150-00787,38662734.0,2020_01
09-152-00795,13021574.79,2020_01
09-153-00802,4373712.93,2020_01
09-157-00822,2430223.72,2020_01
09-164-00849,15322762.49,2020_01
09-165-00852,1501635.32,2020_01
09-166-00860,1735000.0,2020_01
09-169-00868,822951.07,2020_01
09-185-00939,82044488.5,2020_01
09-187-00947,42484473.0,2020_01
09-190-00962,203205.0,2020_01
09-191-00966,4928912.0,2020_01
09-193-00978,11729484.11,2020_01
09-202-01011,4147657.71,2020_01
09-153-00799,1427814.0,2025_08
09-196-00993,4893278.3,2025_08
09-201-01008,2090000.0,2025_08
09-134-00713,291703.17,2025_12
09-173-00881,221660.16,2025_12
09-180-00920,551371.5700000001,2025_12
09-180-00921,209192.1,2025_12
09-180-00922,974643.74,2025_12
09-181-00923,52785.75,2025_12
09-182-00925,324173.74,2025_12
09-182-00926,1202951.82,2025_12
09-182-00927,38938.88,2025_12
09-191-00964,125427.6,2025_12
09-191-00965,41980.65,2025_12
09-191-00966,323448.64,2025_12
09-191-00967,64715.2,2025_12
09-191-00968,216885.75,2025_12
09-191-00970,97036.4,2025_12
