object_id,Preparedness Measures_tenders_awarded_value,timeperiod
09-135-00717,18392629.2,2024_01
09-135-00719,10854485.92,2024_01
09-185-00939,2493757.5,2024_01
09-138-00734,1074585.66,2024_02
09-150-00787,3379200.0,2024_02
09-175-00890,4889430.63,2024_02
09-185-00939,2137795.05,2024_02
09-199-01000,11188902.0,2024_02
09-150-00787,2743040.0,2024_07
09-154-00804,2724715.8,2024_07
09-185-00938,1325750.0,2024_07
09-188-00950,12214555.0,2024_07
09-190-00959,7519875.0,2024_07
09-199-01000,2950000.0,2024_07
09-193-00978,92654160.0,2024_12
09-151-00790,1321666.56,2024_06
09-176-00900,2642552.82,2024_06
09-188-00950,31708589.7,2024_06
09-175-00890,6060549.6,2024_10
09-188-00950,8614557.0,2024_10
09-704-00707,742560.0,2024_04
09-134-00713,249375.0,2024_05
09-170-00871,21817925.0,2024_05
09-193-00978,10793160.0,2024_05
09-136-00726,2425405.86,2024_11
09-155-00811,11464446.5,2024_11
09-188-00950,5629434.0,2024_11
09-705-00741,1271172.0,2024_11
09-150-00787,3187190.0,2023_12
09-185-00939,7611301.33,2023_12
