Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,967/E-Nivida/LucknowIII,2020_UPRNS_425840_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,04-Feb-2020 04:50 PM,11-Feb-2020 11:00 AM,04-Feb-2020 04:50 PM,11-Feb-2020 10:30 AM,NA ,NA ,04-Feb-2020 04:50 PM,11-Feb-2020 10:30 AM,12-Feb-2020 12:30 PM,"31,000",Yes,fixed,,SE UPRNSS Limited Lucknow III,Lucknow,1.0,DD - Demand Draft,"1,298",UPRNSS,Lucknow,No,Superintending Engineer,5/148 Vikas nagar,"P.R.W. Work at Rajkiya Homeopathic College, P.G. Hostel, District-Lucknow (U.P.)","P.R.W. Work at Rajkiya Homeopathic College, P.G. Hostel, District-Lucknow (U.P.)",Please refer Tender documents. ,NA ,"15,30,054",Civil Works,NA ,Tender,90.0,90.0,LUCKNOW,226001.0,NA ,NA ,NA ,LUCKNOW,No ,No,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,967/E-Nivida/LucknowIII,2020_UPRNS_425840_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,04-Feb-2020 04:50 PM,11-Feb-2020 11:00 AM,04-Feb-2020 04:50 PM,11-Feb-2020 10:30 AM,NA ,NA ,04-Feb-2020 04:50 PM,11-Feb-2020 10:30 AM,12-Feb-2020 12:30 PM,"31,000",Yes,fixed,,SE UPRNSS Limited Lucknow III,Lucknow,1.0,DD - Demand Draft,"1,298",UPRNSS,Lucknow,No,Superintending Engineer,5/148 Vikas nagar,"P.R.W. Work at Rajkiya Homeopathic College, P.G. Hostel, District-Lucknow (U.P.)","P.R.W. Work at Rajkiya Homeopathic College, P.G. Hostel, District-Lucknow (U.P.)",Please refer Tender documents. ,NA ,"15,30,054",Civil Works,NA ,Tender,90.0,90.0,LUCKNOW,226001.0,NA ,NA ,NA ,LUCKNOW,No ,No,12-Feb-2020,"INR 1,529,675.35",90.0,Ajit Singh,12-Feb-2020 02:44 PM,AOC967.pdf (653.00 KB),1.0,1587422.0,m/s B.C.C CONSTRUCTIONS,INR,"1,529,675.35",1.0,1587422.0,m/s B.C.C CONSTRUCTIONS,08-Feb-2020 05:36 PM,Accepted-AOC,Quoted Lowest rates,12-Feb-2020 02:44 PM,Finance,2 Bids are admitted,Ajit Singh,12-Feb-2020 12:48 PM,None,BOQ Comparative Chart,Ajit Singh,Internal,"Anvail Singh (A.E.), Abhishek Sinha (A.E.), Mahendra Kumar (J.E.), V.K.Singh (Acctt.)",Ajit Singh,12-Feb-2020 02:42 PM,finsummary_632562.pdf (533.81 KB),1.0,1587422.0,m/s B.C.C CONSTRUCTIONS,"15,29,675.35",1.0,Technical,2 Bids are Admitted,Ajit Singh,11-Feb-2020 12:36 PM,None,Ajit Singh,Internal,"Anavil Singh (A.E.), Abhishek Sinha (A.E.), Mahendra Kumar (J.E.), V.K.Singh (Acctt.)",Ajit Singh,12-Feb-2020 12:23 PM,12-Feb-2020 12:30 PM,techsummary_632562.pdf (768.12 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1587646.0,m/s shagun construction,08-Feb-2020 06:35 PM,Rejected-AOC,Quoted Highest rates,12-Feb-2020 02:44 PM,,,,,,,,,,,,,2.0,1587646.0,m/s shagun construction,"15,40,777.30",2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_UPRNS_425840_2,967/E-Nivida/LucknowIII,"P.R.W. Work at Rajkiya Homeopathic College, P.G. Hostel, District-Lucknow (U.P.)"
