Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
25-Mar-2026,"INR 24,166,106",540.0,Trayambak Tripathi,28-Mar-2026 09:42 PM,purnagri.pdf (436.00 KB),AG NO 12/SE/2025-26 MS PURNAGIRI CONSTRUCTION,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly",2026_UPIDC_1104288_1,04/SE/2025-26,Janpad Champawat main awsthith canal colony banbasa evam banbasa canal forest ki suraksha/simankan hetu purv nirmit boundary wall ki punasrthapna ka karye.,1.0,5810685.0,PURNAGIRI CONSTRUCTION CO. PVT. LTD.,INR,"24,166,106",1,5812509,GSB DEVELOPERS PRIVATE LIMITED,18-Jan-2026 06:56 PM,Rejected-Finance,ADMITTED,12-Feb-2026 07:05 PM,Technical,07 BIDS RECEIVED OUT OF WHICH 05 BIDS HAVE BEEN QUALIFIED CONTRACTOR,Trayambak Tripathi,27-Jan-2026 04:28 PM,,SE VTH CIRCLE IW BAREILLY,External,SE FLOOD CIRCLE LAKHIMPUR KHIRI,Trayambak Tripathi,12-Feb-2026 07:05 PM,finsummary_2037063.pdf (24.30 KB),Finance,05 BIDS RECEIVED OUT OF WHCIH LOQWEST BIDS AWARDED,Trayambak Tripathi,12-Feb-2026 07:00 PM,,BOQ Comparative Chart,SE VTH CIRCLE IW BAREILLY,External,SE FLOOD CIRCLE LAKHIMPUR KHIRI,Trayambak Tripathi,27-Jan-2026 04:33 PM,30-Jan-2026 04:30 PM,techsummary_2037063.pdf (1036.08 KB),AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly",04/SE/2025-26,2026_UPIDC_1104288_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,715",Nil,Nil,Yes,08-Jan-2026 11:00 AM,19-Jan-2026 04:00 PM,08-Jan-2026 11:00 AM,19-Jan-2026 03:00 PM,NA ,NA ,08-Jan-2026 11:00 AM,19-Jan-2026 03:00 PM,30-Jan-2026 04:30 PM,Janpad Champawat main awsthith canal colony banbasa evam banbasa canal forest ki suraksha/simankan hetu purv nirmit boundary wall ki punasrthapna ka karye.,Janpad Champawat main awsthith canal colony banbasa evam banbasa canal forest ki suraksha/simankan hetu purv nirmit boundary wall ki punasrthapna ka karye.,Please refer Tender documents. ,NA ,"3,66,35,000",Civil Works,NA ,Tender,90.0,540.0,BANBASA,262310.0,NA ,NA ,NA ,BAREILLY,No ,No,SUPERINTENDING ENGINEER,SE VTH CIRCLE IW BAREILLY,"7,33,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,5809687,M/S KUMAR MANGLAM CONSTRUCTION,18-Jan-2026 06:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Jan-2026 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5814003,M/s Mujeeb Ahmad Thekedar,19-Jan-2026 02:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Jan-2026 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5806748,M/S OM BALA JEE CONSTRUCTION,15-Jan-2026 05:26 PM,Rejected-Finance,ADMITTED,12-Feb-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5812182,PL ENTERPRISES,18-Jan-2026 09:48 PM,Rejected-Finance,ADMITTED,12-Feb-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5810685,PURNAGIRI CONSTRUCTION CO. PVT. LTD.,19-Jan-2026 01:44 PM,Accepted-AOC,L-1,28-Mar-2026 09:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5813900,SINGH CONTRACTOR,19-Jan-2026 02:36 PM,Rejected-Finance,ADMITTED,12-Feb-2026 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
