Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur",2026_UPIDC_1111715_1,12/SE/2025-26,Reconstruction work of damaged VRBs at Km. 43.600 and Km. 44.330 of Lower Narayani Branch in District-Maharajganj and Kushinagar.,1.0,5880472.0,M/S SAGAR CONSTRUCTION,INR,"16,693,590.6",1,5885073,M/S ASHISH KUMAR PANDEY,17-Feb-2026 12:58 PM,Rejected-Finance,AS PER UPLOADED,24-Feb-2026 07:43 PM,17-Mar-2026,"INR 16,693,590.6",365.0,Alok Kumar,27-Mar-2026 01:57 PM,aoc121.pdf (284.00 KB),AS PER UPLOADED,ALOK KUMAR,Internal,AS PER UPLOADED,Alok Kumar,24-Feb-2026 07:43 PM,finsummary_2054862.pdf (383.99 KB),Technical,AS PER UPLOADED,Alok Kumar,19-Feb-2026 09:44 PM,technical_2054862.pdf,ALOK KUMAR,Internal,AS PER UPLOADED,Alok Kumar,19-Feb-2026 09:49 PM,23-Feb-2026 11:00 AM,techsummary_2054862.pdf (383.99 KB),Finance,AS PER UPLOADED,Alok Kumar,24-Feb-2026 07:28 PM,finance_2054862.pdf,BOQ Comparative Chart,AOC,"4,554",Nil,Nil,No,Reconstruction work of damaged VRBs at Km. 43.600 and Km. 44.330 of Lower Narayani Branch in District-Maharajganj and Kushinagar.,Reconstruction work of damaged VRBs at Km. 43.600 and Km. 44.330 of Lower Narayani Branch in District-Maharajganj and Kushinagar.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,365.0,"MAHARAJGANJ, KUSHINAGAR",273303.0,NA ,NA ,NA ,"SE GANDAK IRRIGATION WORK CIRCLE-1, GORAKHPUR",No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,"4,40,000",Yes,fixed,,Nil,Nil,03-Feb-2026 10:00 AM,17-Feb-2026 01:30 PM,03-Feb-2026 10:00 AM,17-Feb-2026 01:00 PM,NA ,NA ,03-Feb-2026 10:00 AM,17-Feb-2026 01:00 PM,23-Feb-2026 11:00 AM,SUPERINTENDING ENGINEER,"SUPERINTENDING ENGINEER GANDAK IRRIGATION WORK CIRCLE-1, GORAKHPUR","U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur",12/SE/2025-26,2026_UPIDC_1111715_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5884333,M/S K. K. CONSTRUCTION,17-Feb-2026 12:11 PM,Rejected-Technical,AS PER TECHNICAL EVALUATION,19-Feb-2026 09:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5878822,M/s Lal Mohan Yadav,17-Feb-2026 12:16 PM,Rejected-Technical,AS PER TECHNICAL EVALUATION,19-Feb-2026 09:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5880472,M/S SAGAR CONSTRUCTION,17-Feb-2026 11:49 AM,Accepted-AOC,AS PER UPLOADED,27-Mar-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5881584,RAM NARAYAN YADAV,17-Feb-2026 12:13 PM,Rejected-Finance,AS PER UPLOADED,24-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5881138,SHIVANAND SHUKLA,16-Feb-2026 07:16 PM,Rejected-Technical,AS PER TECHNICAL EVALUATION,19-Feb-2026 09:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
