S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1,5987874,ANITA SINGH CONTRACTOR AND SUPPLIEYER,19-Mar-2026 02:11 PM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:29 PM,1.0,5988687.0,RAM ABHILASH SHUKLA CONTRACTOR,INR,"3,490,706.4","U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||Irrigation Works Circle, Banda",2026_UPIDC_1123887_1,05/SE/2025-26,Restoration of Gauriya Bundhi in Mau Thasil District Chitrokoot (LOT-02),30-Mar-2026,"INR 3,490,706.4",90.0,Usman Ali,30-Mar-2026 04:52 PM,DOS.pdf (367.00 KB),AOC,Usman Ali,Internal,Usman Ali Superintending Engineer Irrigation Work Circle Banda Brijesh Kumar Superintending Engineer 4th Circle Irrigation Work Jhansi,Usman Ali,30-Mar-2026 04:47 PM,finsummary_2094165.pdf (366.51 KB),Technical,Technical Evaluation,Usman Ali,25-Mar-2026 06:13 PM,technical_2094165.pdf,Usman Ali,Internal,Usman Ali Superintending Engineer Irrigation Work Circle Banda Brijesh Kumar Superintending Engineer 4th Circle Irrigation Work Jhansi,Usman Ali,25-Mar-2026 06:29 PM,28-Mar-2026 06:00 PM,techsummary_2094165.pdf (516.55 KB),Finance,Financial Evaluation,Usman Ali,30-Mar-2026 04:38 PM,finance_2094165.pdf,BOQ Comparative Chart,AOC,"1,06,000",No,fixed,,Nil,Nil,"2,354",Nil,Nil,No,13-Mar-2026 11:00 AM,19-Mar-2026 03:00 PM,13-Mar-2026 11:00 AM,19-Mar-2026 02:30 PM,NA ,NA ,13-Mar-2026 11:00 AM,19-Mar-2026 02:30 PM,28-Mar-2026 06:00 PM,Restoration of Gauriya Bundhi in Mau Thasil District Chitrokoot (LOT-02),Restoration of Gauriya Bundhi in Mau Thasil District Chitrokoot (LOT-02),Please refer Tender documents. ,NA ,"53,24,000",Civil Works,NA ,Tender,90.0,90.0,Chitrakoot,210205.0,Irrigation Work Circle Banda ,Irrigation Work Circle Banda ,13-Mar-2026 11:00 AM ,Irrigation Work Circle Banda,No ,No,1.0,SBI Bank,Supertending Engineer,Irrigation Work Circle Banda,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||Irrigation Works Circle, Banda",05/SE/2025-26,2026_UPIDC_1123887_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical,AOC
2,5984605,KAMLESH KUMAR,19-Mar-2026 01:22 PM,Rejected-Finance,L-5,30-Mar-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
3,5981739,M/s Ashok Kumar Singh,19-Mar-2026 11:52 AM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,5988194,M/S BAL KRISHNA PANDEY,19-Mar-2026 12:42 PM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,5984466,M/S HEMRAJ SINGH CONTRACTOR,18-Mar-2026 12:14 PM,Rejected-Finance,L-3,30-Mar-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,5984904,M/S NATTHU RAM DWIVEDI,19-Mar-2026 02:26 PM,Rejected-Finance,L-6,30-Mar-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,5984146,M/S SAVITA SINGH,18-Mar-2026 10:49 PM,Rejected-Technical,All Bid Rejected in Technical Evaluation,25-Mar-2026 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,5988449,M/S VIVEK KUMAR SINGH,19-Mar-2026 01:14 PM,Rejected-Finance,L-7,30-Mar-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,5988687,RAM ABHILASH SHUKLA CONTRACTOR,19-Mar-2026 02:07 PM,Accepted-AOC,L-1,30-Mar-2026 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,5986822,SHIV PRASAD GUPTA,19-Mar-2026 01:28 PM,Rejected-Finance,L-2,30-Mar-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
