S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5830978.0,RATAN CONSTRUCTION & SUPPLIERS,INR,"7,597,441.93",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2026_UPPRC_1107549_4,32/GM-4/UPPCL/2025-26 Dated 14-01-2026,TOURISM DEVELOPMENT WORK OF PASINE WALE HANUMAN JI MANDIR IN DISTRICT FIROZABAD (UP),1,5830847,Adept Construction,29-Jan-2026 01:04 PM,Rejected-Finance,Being Second Lowest,17-Feb-2026 08:25 PM,10-Mar-2026,"INR 7,597,441.93",180.0,RAJIV KUMAR PANDEY,18-Mar-2026 07:52 PM,AOC.pdf (44.00 KB),Work Awarded to M/s Ratan Construction And Suppliers,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh, Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,05-Feb-2026 05:31 PM,06-Feb-2026 01:00 PM,techsummary_2044123.pdf (1435.00 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,06-Feb-2026 06:04 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,17-Feb-2026 08:25 PM,finsummary_2044123.pdf (73.63 KB),Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,05-Feb-2026 05:25 PM,,AOC,1.0,SBI Bank,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra","1,53,000",No,fixed,,Nil,Nil,19-Jan-2026 04:40 PM,29-Jan-2026 03:00 PM,19-Jan-2026 04:40 PM,29-Jan-2026 02:00 PM,NA ,NA ,19-Jan-2026 04:40 PM,29-Jan-2026 02:00 PM,06-Feb-2026 01:00 PM,"11,800",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,32/GM-4/UPPCL/2025-26 Dated 14-01-2026,2026_UPPRC_1107549_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,TOURISM DEVELOPMENT WORK OF PASINE WALE HANUMAN JI MANDIR IN DISTRICT FIROZABAD (UP),TOURISM DEVELOPMENT WORK OF PASINE WALE HANUMAN JI MANDIR IN DISTRICT FIROZABAD (UP),Please refer Tender documents. ,NA ,"76,40,227",Miscellaneous Works,NA ,Tender,90.0,180.0,Distt Firozabad,283201.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra ",22-Jan-2026 11:00 AM ,General Manager (Zone-4) Agra,No ,No,AOC
,,,,,,,,,2,5830978,RATAN CONSTRUCTION & SUPPLIERS,29-Jan-2026 01:16 PM,Accepted-AOC,L1,18-Mar-2026 07:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,AOC
