Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
27-Feb-2026,"INR 7,442,640",30.0,prabhat kumar singh,19-Mar-2026 02:15 PM,AmanCons.pdf (396.00 KB),Contract Value is including 18 percent GST,1.0,5865401.0,M/S AMAN CONSTRUCTION COMPANY,INR,"7,442,640","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh",2026_UPIDC_1112053_2,30/SE/DCA/2025-26,Renewal of Service Road on Right Bank (Common Bank) of P.U.G.C. From Km. 177.550 to Km. 185.00,1,5865401,M/S AMAN CONSTRUCTION COMPANY,13-Feb-2026 12:13 PM,Accepted-AOC,L-1,19-Mar-2026 02:15 PM,Finance,6 BIDS FOUND,prabhat kumar singh,20-Feb-2026 12:46 PM,finance_2056349.pdf,PRABHAT KUKUMAR SINGH,Internal,Alok Chaturvedi SE IWC Mathura B K Singh EE BDGC,prabhat kumar singh,16-Feb-2026 06:17 PM,18-Feb-2026 01:00 PM,techsummary_2056349.pdf (2920.99 KB),Technical,08 Bid Found,prabhat kumar singh,13-Feb-2026 04:39 PM,,PRABHAT KUKUMAR SINGH,Internal,ALOK CHATURVEDI SE IWC MATHURA B K SINGH EE BDGC,prabhat kumar singh,20-Feb-2026 01:04 PM,finsummary_2056349.pdf (2920.99 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Check List,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh",30/SE/DCA/2025-26,2026_UPIDC_1112053_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"2,34,000",No,fixed,,Nil,Nil,07-Feb-2026 02:00 PM,13-Feb-2026 03:30 PM,07-Feb-2026 02:00 PM,13-Feb-2026 03:00 PM,NA ,NA ,07-Feb-2026 02:00 PM,13-Feb-2026 03:00 PM,18-Feb-2026 01:00 PM,1.0,SBI Bank,Renewal of Service Road on Right Bank (Common Bank) of P.U.G.C. From Km. 177.550 to Km. 185.00,Renewal of Service Road on Right Bank (Common Bank) of P.U.G.C. From Km. 177.550 to Km. 185.00,Please refer Tender documents. ,NA ,"1,17,00,000",Civil Works - Canal,NA ,Tender,90.0,30.0,BULANDSHAHAR,203001.0,Aligarh ,Office Of S.E.Drainage Circle. Aligarh ,09-Feb-2026 01:00 PM ,Office Of S.E.Drainage Circle. Aligarh,No ,No,"2,114",Nil,Nil,No,"S.E. Drainage Circle, Aligarh",Office Of S.E.Drainage Circle. Aligarh,AOC
,,,,,,,,,,,,,,,,2,5867152,M/s Kapil Kumar Sharma,13-Feb-2026 11:50 AM,Rejected-Finance,L-2,20-Feb-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5856777,M/S MOHIT ASSOCIATES,11-Feb-2026 11:41 AM,Rejected-Technical,not coconfirming to clause 19(vii),16-Feb-2026 06:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5867307,M/S SIROHI CONSTRUCTION COMPANY,13-Feb-2026 01:05 PM,Rejected-Technical,not coconfirming to clause 19(x),16-Feb-2026 06:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5864267,M/s Virendra Singh Contractor,12-Feb-2026 07:52 PM,Rejected-Finance,L-3,20-Feb-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5867793,Santosh Kumar Sharma,13-Feb-2026 02:21 PM,Rejected-Finance,L-5,20-Feb-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5866270,S F INFRA PROJECTS,12-Feb-2026 10:47 PM,Rejected-Finance,L-6,20-Feb-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5868016,VEERESH KUMAR,13-Feb-2026 02:48 PM,Rejected-Finance,L-4,20-Feb-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
