Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1118901_3,1603/RED/Tender/2025-26,"Installation of Semi-high mast lights (200 watts with 06 lights) at 08 public places (as per the proposal of Hon ble MP), Block-Behta",1.0,5906550.0,M/s Mannat Construction,INR,"1,262,629",1,5906550,M/s Mannat Construction,24-Feb-2026 12:36 PM,Accepted-AOC,L1,24-Mar-2026 07:28 PM,24-Mar-2026,"INR 1,262,629",90.0,Gyanendra Kumar,24-Mar-2026 07:28 PM,5.pdf (362.00 KB),Gyanendra Kumar,Internal,,Gyanendra Kumar,24-Mar-2026 06:30 PM,finsummary_2080199.pdf (4053.66 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,27-Feb-2026 01:24 PM,,Gyanendra Kumar,Internal,,Gyanendra Kumar,12-Mar-2026 04:45 PM,16-Mar-2026 12:30 PM,techsummary_2080199.pdf (312.28 KB),Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,16-Mar-2026 05:37 PM,,BOQ Comparative Chart,AOC,"27,000",No,fixed,,Nil,Nil,EE RED Sitapur,"Vikas Bhawan, Sitapur",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1603/RED/Tender/2025-26,2026_REDUP_1118901_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,857.0,Nil,Nil,No,21-Feb-2026 03:00 PM,27-Feb-2026 12:30 PM,21-Feb-2026 03:00 PM,27-Feb-2026 12:00 PM,NA ,NA ,21-Feb-2026 03:00 PM,27-Feb-2026 12:00 PM,16-Mar-2026 12:30 PM,"Installation of Semi-high mast lights (200 watts with 06 lights) at 08 public places (as per the proposal of Hon ble MP), Block-Behta","Installation of Semi-high mast lights (200 watts with 06 lights) at 08 public places (as per the proposal of Hon ble MP), Block-Behta",Please refer Tender documents. ,NA ,"12,62,355",Electrical Works,NA ,Tender,90.0,NA ,"Behta, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,AOC
,,,,,,,,,2,5907014,SHAKUN CONSTRUCTION,21-Feb-2026 06:30 PM,Rejected-Finance,Higher Rate Quoted,24-Mar-2026 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
