Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,605/E E/Ayo/E Tender/MLA FUND/25-26 30.01.2026,2026_SCIDC_1111160_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,MLA Fund Scheme CONSTRUCTION OF CC ROAD AND CULVERT AT BLOCK AKBARPUR,MLA Fund Scheme CONSTRUCTION OF CC ROAD AND CULVERT AT BLOCK AKBARPUR Village Sangram,Please refer Tender documents. ,NA ,,Construction Works,MLA Fund Scheme CONSTRUCTION OF CC ROAD AND CULVER ,Tender,90.0,90.0,Ambedkarnagar,224122.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,03-Feb-2026 11:00 AM ,EE office up scidco,No ,No,1,Fee/PreQual/Technical,.pdf,MLA Fund Scheme ONSTRUCTION OF CC ROAD AND CULVERT UNDER MLA FUND AT BLOCK AKBARPUR Village Sangram,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,31-Jan-2026 01:15 PM,06-Feb-2026 11:00 AM,31-Jan-2026 01:15 PM,06-Feb-2026 09:00 AM,NA ,NA ,31-Jan-2026 01:15 PM,06-Feb-2026 09:00 AM,24-Feb-2026 01:45 PM,"1,652",online,Ayodhya,No,"35,000",No,fixed,,E E U P Scidco,Ayodhya,1,FDR - Fixed Deposit,AOC,Technical,Technical,Jagpal Verma,24-Feb-2026 01:08 PM,technical_2052560.pdf,EE,Internal,A E Asst Acct,Jagpal Verma,01-Mar-2026 04:48 PM,finsummary_2052560.pdf (548.06 KB),Finance,Financial Bid opening summary,Jagpal Verma,01-Mar-2026 04:46 PM,finance_2052560.pdf,BOQ Comparative Chart,EE,Internal,EE AA,Jagpal Verma,24-Feb-2026 01:40 PM,24-Feb-2026 01:45 PM,techsummary_2052560.pdf (635.04 KB),01-Mar-2026,"INR 1,766,100",90.0,Jagpal Verma,05-Mar-2026 11:11 AM,LOI.pdf (393.00 KB),MLA Fund Scheme CONSTRUCTION OF CC ROAD AND CULVERT AT BLOCK AKBARPUR,1,5845538,M/S VK CONSTRUCTION CO.,05-Feb-2026 06:59 PM,Rejected-Finance,not ok,01-Mar-2026 04:48 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1111160_1,605/E E/Ayo/E Tender/MLA FUND/25-26 30.01.2026,MLA Fund Scheme CONSTRUCTION OF CC ROAD AND CULVERT AT BLOCK AKBARPUR,1.0,5843035.0,SARITA CONTRACTOR,INR,"1,766,100",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5843035,SARITA CONTRACTOR,04-Feb-2026 05:18 PM,Accepted-AOC,ok,05-Mar-2026 11:11 AM,,,,,,,,,,AOC
