Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Under MLA Fund Scheme CONSTRUCTION OF ROAD AT BLOCK AKBARPUR VILLAGE Amrola me rajesh yadav ke ghar se ram ashish ke tak rambal road intarloking sadak,Under MLA Fund Scheme CONSTRUCTION OF ROAD AT BLOCK AKBARPUR VILLAGE Amrola me rajesh yadav ke ghar se ram ashish ke tak rambal road intarloking sadak,Please refer Tender documents. ,NA ,,Construction Works,Under MLA Fund Scheme CONSTRUCTION OF ROAD  ,Tender,90.0,90.0,Ambedkarnagar,224122.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,03-Feb-2026 11:00 AM ,EE office up scidco,No ,No,"1,652",online,Ayodhya,No,1,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,600/E E/Ayo/E Tender/MLA FUND/25-26 30.01.2026,2026_SCIDC_1111105_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"23,000",No,fixed,,E E U P Scidco,Ayodhya,31-Jan-2026 11:35 AM,06-Feb-2026 11:00 AM,31-Jan-2026 11:35 AM,06-Feb-2026 09:00 AM,NA ,NA ,31-Jan-2026 11:35 AM,06-Feb-2026 09:00 AM,24-Feb-2026 01:50 PM,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,1,Fee/PreQual/Technical,.pdf,Under MLA Fund Scheme CONSTRUCTION OF ROAD AT BLOCK AKBARPUR VILLAGE Amrola me rajesh yadav ke ghar,AOC,EE,Internal,A E Asst Acct,Jagpal Verma,01-Mar-2026 04:24 PM,finsummary_2052411.pdf (474.56 KB),Technical,Technical Summary,Jagpal Verma,24-Feb-2026 12:57 PM,technical_2052411.pdf,EE,Internal,EE AA,Jagpal Verma,24-Feb-2026 01:49 PM,24-Feb-2026 01:50 PM,techsummary_2052411.pdf (610.79 KB),Finance,Financial Bid opening summary,Jagpal Verma,01-Mar-2026 04:21 PM,finance_2052411.pdf,BOQ Comparative Chart,1,5845595,M/S VK CONSTRUCTION CO.,05-Feb-2026 08:17 PM,Rejected-Finance,not ok,01-Mar-2026 04:24 PM,1.0,5843131.0,SARITA CONTRACTOR,INR,"1,157,500",U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1111105_1,600/E E/Ayo/E Tender/MLA FUND/25-26 30.01.2026,Under MLA Fund Scheme CONSTRUCTION OF ROAD AT BLOCK AKBARPUR VILLAGE Amrola me rajesh yadav ke ghar se ram ashish ke tak rambal road intarloking sadak,01-Mar-2026,"INR 1,157,500",90.0,Jagpal Verma,05-Mar-2026 10:52 AM,LOI.pdf (404.00 KB),Under MLA Fund Scheme CONSTRUCTION OF ROAD AT BLOCK AKBARPUR VILLAGE Amrola me rajesh yadav ke ghar se ram ashish ke tak rambal road intarloking sadak,AOC
,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5843131,SARITA CONTRACTOR,04-Feb-2026 06:04 PM,Accepted-AOC,ok,05-Mar-2026 10:53 AM,,,,,,,,,,,,,,,,,AOC
