Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,2026_UPPRC_1118856_1,23/PCL/PM/Noida/2025-26 Dt 19.02.26,Construction work of Balance Boundary Wall at Pt. Deendyal Upadhyay Rajkiya Model Inter College Nathla Hasanpur District Bulandshahar,1.0,5935347.0,sharma enterprises,INR,"650,202.15",1,5941163,M/S YOGESH KUMAR SHARMA,28-Feb-2026 01:34 PM,Rejected-AOC,Second Lowest,24-Mar-2026 03:52 PM,16-Mar-2026,"INR 650,202.15",60.0,JALAJ KUMAR SHARMA,24-Mar-2026 03:52 PM,8856.pdf (1157.00 KB),"Rs. 7,67,238.00 including GST","Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,14-Mar-2026 05:28 PM,finsummary_2079906.pdf (387.54 KB),Technical,Two Bids are received. All are found Technically qualified,JALAJ KUMAR SHARMA,06-Mar-2026 07:01 PM,technical_2079906.pdf,"Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,06-Mar-2026 07:03 PM,07-Mar-2026 03:00 PM,techsummary_2079906.pdf (347.58 KB),Finance,Technically Qualified bidders bids opened. Out of them M/s sharma enterprises Bid is First Lowest of amount Rupees 650202.150,JALAJ KUMAR SHARMA,14-Mar-2026 05:26 PM,finance_2079906.pdf,BOQ Comparative Chart,AOC,1.0,SBI Bank,"3,540",Nil,Nil,No,"16,000",No,fixed,,Nil,Nil,21-Feb-2026 12:00 PM,28-Feb-2026 03:00 PM,21-Feb-2026 12:00 PM,28-Feb-2026 02:00 PM,NA ,NA ,21-Feb-2026 12:00 PM,28-Feb-2026 02:00 PM,07-Mar-2026 03:00 PM,Construction work of Balance Boundary Wall at Pt. Deendyal Upadhyay Rajkiya Model Inter College Nathla Hasanpur District Bulandshahar,Construction work of Balance Boundary Wall at Pt. Deendyal Upadhyay Rajkiya Model Inter College Nathla Hasanpur District Bulandshahar,Please refer Tender documents. ,NA ,"7,77,000",Civil Works,NA ,Tender,90.0,60.0,Pt. Deendyal Upadhyay Rajkiya Model Inter College,203002.0,NA ,NA ,NA ,"K-2, Sector-116, Noida Gautambudha Nagar",No ,No,"Project Manager, UP Projects Corporation Ltd","K-2, Sector-116, Noida Gautambudha Nagar",1,Fee/PreQual/Technical,.pdf,Technical Bid,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,23/PCL/PM/Noida/2025-26 Dt 19.02.26,2026_UPPRC_1118856_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5935347,sharma enterprises,27-Feb-2026 10:02 AM,Accepted-AOC,First Lowest,24-Mar-2026 03:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,AOC
