Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,2026_UPPRC_1118877_1,24/PCL/PM/Unit-36/Noida/20-26 Dt 19.02.26,Construction of Library Room for Higher Secondary School at-Shadipur Chhidauli in Distt.-Gautam Budh Nagar,1.0,5952229.0,M/S INDER SINGH,INR,"1,330,934.056",1,5952229,M/S INDER SINGH,06-Mar-2026 05:23 PM,Accepted-AOC,First Lowest,24-Mar-2026 03:41 PM,18-Mar-2026,"INR 1,330,934.056",180.0,JALAJ KUMAR SHARMA,24-Mar-2026 03:41 PM,Shadipur.pdf (1241.00 KB),"Rs. 13,30,934.00 excluding GST and Rs. 15,70,502.00 including GST","Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,17-Mar-2026 11:50 AM,17-Mar-2026 02:00 PM,techsummary_2079957.pdf (387.53 KB),Finance,Technically Qualified bidders bids opened. Out of them M/s INDER SINGH Bid is First Lowest of amount Rupees 1330934.056,JALAJ KUMAR SHARMA,17-Mar-2026 06:26 PM,,BOQ Comparative Chart,"Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,17-Mar-2026 06:30 PM,finsummary_2079957.pdf (604.92 KB),Technical,Two Bids are received. All are found Technically qualified,JALAJ KUMAR SHARMA,17-Mar-2026 11:46 AM,technical_2079957.pdf,AOC,"32,000",Yes,fixed,,Nil,Nil,Construction of Library Room for Higher Secondary School at-Shadipur Chhidauli in Distt.-Gautam Budh Nagar,Construction of Library Room for Higher Secondary School at-Shadipur Chhidauli in Distt.-Gautam Budh Nagar,Please refer Tender documents. ,NA ,"15,90,000",Civil Works,NA ,Tender,90.0,180.0,hadipur Chhidauli in Distt.-Gautam Budh Nagar,203002.0,NA ,NA ,NA ,"K-2, Sector-116, Noida Gautambudha Nagar",No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,24/PCL/PM/Unit-36/Noida/20-26 Dt 19.02.26,2026_UPPRC_1118877_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Extend date,Date,,"Project Manager, UP Projects Corporation Ltd","K-2, Sector-116, Noida Gautambudha Nagar","5,900",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical Bid,21-Feb-2026 01:00 PM,10-Mar-2026 03:00 PM,21-Feb-2026 01:00 PM,10-Mar-2026 02:00 PM,NA ,NA ,21-Feb-2026 01:00 PM,10-Mar-2026 02:00 PM,17-Mar-2026 02:00 PM,AOC
,,,,,,,,,2,5955703,MUNESH DAGAR CONSTRUCTION,09-Mar-2026 10:36 AM,Rejected-AOC,Second Lowest,24-Mar-2026 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,AOC
