S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5857953.0,M/S BABA TRADERS,INR,"25,948,620.14","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow",2026_UPIDC_1112486_3,05/SE-VII/2025-26,AS PER TENDER NOTICE-05 LOT-03,1,5857979,M/S ASHISH KUMAR PANDEY,10-Feb-2026 01:54 AM,Rejected-Finance,L2,21-Feb-2026 03:59 PM,07-Mar-2026,"INR 25,948,620.14",180.0,bhanu pratap singh,28-Mar-2026 07:21 PM,05Lot03AOC.pdf (298.00 KB),AOC,Superintending Engineer,Internal,,bhanu pratap singh,17-Feb-2026 05:32 PM,20-Feb-2026 05:35 PM,techsummary_2057772.pdf (196.32 KB),Finance,Summary Uploaded,bhanu pratap singh,21-Feb-2026 03:56 PM,finance_2057772.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,bhanu pratap singh,21-Feb-2026 12:24 PM,finsummary_2057772.pdf (137.17 KB),Technical,Summary,bhanu pratap singh,17-Feb-2026 05:29 PM,technical_2057772.pdf,AOC,Superintending Engineer,"Superintending Engineer, VII Circle Irrigation Works, Sarojni Naidu Marg, Lucknow.",1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow",05/SE-VII/2025-26,2026_UPIDC_1112486_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"5,61,000",No,fixed,,Nil,Nil,"2,805",Nil,Nil,No,05-Feb-2026 10:00 AM,10-Feb-2026 03:00 PM,05-Feb-2026 10:00 AM,10-Feb-2026 10:00 AM,NA ,NA ,05-Feb-2026 10:00 AM,10-Feb-2026 10:00 AM,20-Feb-2026 05:35 PM,AS PER TENDER NOTICE-05 LOT-03,AS PER TENDER NOTICE-05 LOT-03,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,180.0,Lucknow,226001.0,Lucknow ,"Superintending Engineer, VII Circle Irrigation Works, Sarojni Naidu Marg, Lucknow. ",05-Feb-2026 01:00 PM ,Lucknow,No ,No,AOC
,,,,,,,,,2,5857953,M/S BABA TRADERS,10-Feb-2026 01:45 AM,Accepted-AOC,L1,28-Mar-2026 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
