Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1st class brick lining work with 100pct. new brick and C.C 124cm on bed from chainage 1.080 km to 1.400km including all cost of material, labour, tool and plant etc. as per bill of quantity at Adaura pump canal in district Barabanki.","1st class brick lining work with 100pct. new brick from 1.30 km to 2.00 km, C.C on bed with glass strip from 1.30 km to 2.00 km and cement plaster on both side of wall at Adaura pump canal in district Barabanki.",Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,30.0,NA ,Adaura pump canal in district Barabanki,225304.0,NA ,NA ,NA ,"Office of Executive Engineer,Minor Lift Canal Divi",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,"Executive Engineer, Minor Lift Canal Division","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",1.0,Date Extens.,Date,,11-Feb-2026 10:00 AM,28-Feb-2026 02:00 PM,11-Feb-2026 10:00 AM,28-Feb-2026 12:00 PM,NA ,NA ,11-Feb-2026 10:00 AM,28-Feb-2026 12:00 PM,28-Feb-2026 04:00 PM,1.0,SBI Bank,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,56/EE/MLCD/LKO/2025-26,2026_UPIDM_1114753_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,"53,364",No,fixed,,Nil,Nil,AOC,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh EE",Ashutosh Kumar Singh,28-Feb-2026 03:56 PM,28-Feb-2026 04:00 PM,techsummary_2067589.pdf (174.08 KB),Finance,Financial Evalutation,Ashutosh Kumar Singh,28-Feb-2026 05:03 PM,finance_2067589.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh EE",Ashutosh Kumar Singh,28-Feb-2026 05:32 PM,finsummary_2067589.pdf (174.08 KB),Technical,Technical Evaluation,Ashutosh Kumar Singh,28-Feb-2026 03:45 PM,technical_2067589.pdf,1.0,5874218.0,MAHI CONSTRUCTION,27-Feb-2026 09:53 PM,Rejected-AOC,L2,30-Mar-2026 03:54 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2026_UPIDM_1114753_1,56/EE/MLCD/LKO/2025-26,"1st class brick lining work with 100pct. new brick and C.C 124cm on bed from chainage 1.080 km to 1.400km including all cost of material, labour, tool and plant etc. as per bill of quantity at Adaura pump canal in district Barabanki.",1.0,5940864.0,M/S SAMARTH CONSTRUCTION,INR,"2,267,974.17",12-Mar-2026,"INR 2,267,974.17",30.0,Ashutosh Kumar Singh,30-Mar-2026 03:54 PM,TEC.pdf (658.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5919266.0,MANJULA MISHRA,28-Feb-2026 08:55 AM,Rejected-AOC,L3,30-Mar-2026 03:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5940864.0,M/S SAMARTH CONSTRUCTION,28-Feb-2026 11:29 AM,Accepted-AOC,L1,30-Mar-2026 03:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Misc. document ,Any other document ,Any other document ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tax related documents ,PAN card ,PAN card ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Tax related documents ,VAT registration certificate ,VAT registration certificate ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
