Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
23-Feb-2026 04:00 PM,28-Feb-2026 04:00 PM,23-Feb-2026 04:00 PM,28-Feb-2026 04:00 PM,NA ,NA ,23-Feb-2026 04:00 PM,28-Feb-2026 04:00 PM,06-Mar-2026 12:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",15/EE/2025-26,2026_UPIDC_1119452_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,UMBDGC KHURJA,Construction of Boundry wall,Construction of Boundry wall,Please refer Tender documents. ,NA ,"24,00,000",Civil Works,NA ,Tender,90.0,20.0,UMBDGC KHURJA,203131.0,NA ,NA ,NA ,UMBDGC KHURJA,No ,No,"48,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,854.0,Nil,Nil,No,1.0,SBI Bank,AOC,NEERAJKUMARTYAGI,Internal,NEERAJKUMARTYAGIUMESHKUMAR,NEERAJ TYAGI,05-Mar-2026 02:31 PM,06-Mar-2026 12:00 PM,techsummary_2081617.pdf (508.55 KB),Finance,fianancial report,NEERAJ TYAGI,06-Mar-2026 01:13 PM,finance_2081617.pdf,BOQ Comparative Chart,neeraj kumar tyagi,Internal,neeraj kumar tyagi umesh kumar,NEERAJ TYAGI,06-Mar-2026 01:17 PM,finsummary_2081617.pdf (196.85 KB),Technical,technical report,NEERAJ TYAGI,05-Mar-2026 02:25 PM,technical_2081617.pdf,1,5937926,ARTIST BRO,27-Feb-2026 06:47 PM,Accepted-AOC,Accept,13-Mar-2026 04:14 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",2026_UPIDC_1119452_1,15/EE/2025-26,Construction of Boundry wall,1.0,5937926.0,ARTIST BRO,INR,"1,378,600",09-Mar-2026,"INR 1,378,600",20.0,NEERAJ TYAGI,13-Mar-2026 04:14 PM,115.pdf (783.00 KB),date of start 09.03.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5932859,M/S AGRE ASSOCIATES,27-Feb-2026 05:23 PM,Rejected-Finance,2,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5939100,M/s AMAN MACHINERY STORE,28-Feb-2026 12:31 PM,Rejected-Finance,5,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5941009,M/S PRABHAT CONTRACTOR AND ENGINEERS,28-Feb-2026 12:48 PM,Rejected-Finance,9,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5935028,M/S PRADEEP ASSOCIATES,26-Feb-2026 10:12 PM,Rejected-Finance,6,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5939218,M/S RINKU CONTRACTOR,28-Feb-2026 11:24 AM,Rejected-Finance,10,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5938059,NARENDRA KUMAR SHARMA,28-Feb-2026 11:00 AM,Rejected-Finance,4,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5923880,PRAGYA CONSTRUCTION,27-Feb-2026 03:51 PM,Rejected-Finance,7,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5932351,Rajesh Yadav,27-Feb-2026 08:56 AM,Rejected-Finance,8,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,5938956,SHREE RAMESHWAR SINGH,28-Feb-2026 02:54 PM,Rejected-Finance,3,06-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,AOC
