S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,12-Feb-2026 04:00 PM,10-Mar-2026 03:00 PM,12-Feb-2026 04:00 PM,10-Mar-2026 02:00 PM,NA ,NA ,12-Feb-2026 04:00 PM,10-Mar-2026 02:00 PM,17-Mar-2026 02:30 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,19/PCL/PM/Unit-36/Noida/25-26 DT 11.02.26,2026_UPPRC_1115385_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"34,000",No,fixed,,Nil,Nil,"Project Manager, UP Projects Corporation Ltd","K-2, Sector-116, Noida Gautambudha Nagar",1,Fee/PreQual/Technical,.pdf,Technical Bid,"5,900",Nil,Nil,No,1.0,extend of date,Date,,Construction work of Library Room at Govt. High School Hussainpur Deelna District Ghaziabad,Construction work of Library Room at Govt. High School Hussainpur Deelna District Ghaziabad,Please refer Tender documents. ,NA ,"16,64,000",Civil Works,NA ,Tender,90.0,180.0,Govt. High School Hussainpur Deelna District Ghaz,201001.0,NA ,NA ,NA ,"K-2, Sector-116, Noida Gautambudha Nagar",No ,No,AOC,Finance,Technically Qualified bidders bids opened. Out of them M/s MUNESH DAGAR CONSTRUCTION Bid is First Lowest of amount Rupees 1394788.993,JALAJ KUMAR SHARMA,17-Mar-2026 02:44 PM,finance_2069482.pdf,BOQ Comparative Chart,"Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,17-Mar-2026 02:28 PM,17-Mar-2026 02:30 PM,techsummary_2069482.pdf (387.53 KB),Technical,Two Bids are received. All are found Technically qualified,JALAJ KUMAR SHARMA,17-Mar-2026 02:20 PM,technical_2069482.pdf,"Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,17-Mar-2026 02:45 PM,finsummary_2069482.pdf (387.53 KB),20-Mar-2026,"INR 1,394,789",180.0,JALAJ KUMAR SHARMA,31-Mar-2026 02:22 PM,HUHU.pdf (1051.00 KB),"Rs. 16,45,851.00 including GST",1.0,5928399.0,MUNESH DAGAR CONSTRUCTION,INR,"1,394,789",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,2026_UPPRC_1115385_1,19/PCL/PM/Unit-36/Noida/25-26 DT 11.02.26,Construction work of Library Room at Govt. High School Hussainpur Deelna District Ghaziabad,1,5928399,MUNESH DAGAR CONSTRUCTION,25-Feb-2026 02:17 PM,Accepted-AOC,First Lowest,31-Mar-2026 02:22 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finanical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5945460,sharma enterprises,03-Mar-2026 11:59 AM,Rejected-AOC,Second Lowest,31-Mar-2026 02:22 PM,AOC
