Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,NIT,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,136/FZD/MP/25-26,2026_SCIDC_1121559_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE ENGINEER,"Ex. En. Office H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.","BEUTIFICATION OF AMBEDKAR PARK AT VILL. NAGLA JHAMMAN, GRAM PANCHAYAT TUNDLA KHAM, TEHSIL- TUNDLA.","BEUTIFICATION OF AMBEDKAR PARK AT VILL. NAGLA JHAMMAN, GRAM PANCHAYAT TUNDLA KHAM, TEHSIL- TUNDLA.",Please refer Tender documents. ,NA ,"25,42,000",Civil Works,NA ,Tender,180.0,180.0,SIKANDRA AGRA,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,02-Mar-2026 11:00 AM,09-Mar-2026 01:00 PM,02-Mar-2026 11:00 AM,09-Mar-2026 12:00 PM,NA ,NA ,02-Mar-2026 11:00 AM,09-Mar-2026 12:00 PM,12-Mar-2026 01:10 PM,1.0,RTGS - RTGS Payment,"1,652",UPSCIDCO,FIROZABAD,No,"51,000",No,fixed,,UPSCIDCO,FIROZABAD,AOC,SUPERINTENDING ENGINEER,Internal,,Sanjai Gangwar,16-Mar-2026 01:41 PM,finsummary_2086954.pdf (484.28 KB),Technical,All bids are ok.,Sanjai Gangwar,12-Mar-2026 12:54 PM,technical_2086954.pdf,SUPERINTENDING ENGINEER,Internal,,Sanjai Gangwar,12-Mar-2026 01:05 PM,12-Mar-2026 01:10 PM,techsummary_2086954.pdf (558.56 KB),Finance,Rate of M/s R.S. CONTRACTOR is accepted.,Pramod Kumar,16-Mar-2026 12:42 PM,finance_2086954.pdf,BOQ Comparative Chart,1.0,5955943.0,M/s R.S. CONTRACTOR,INR,"2,541,366.09",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,2026_SCIDC_1121559_1,136/FZD/MP/25-26,"BEUTIFICATION OF AMBEDKAR PARK AT VILL. NAGLA JHAMMAN, GRAM PANCHAYAT TUNDLA KHAM, TEHSIL- TUNDLA.",1,5955977,M/S MAA VISHNO CONSTRUCTION,07-Mar-2026 09:00 PM,Rejected-AOC,OK,16-Mar-2026 01:44 PM,16-Mar-2026,"INR 2,541,366.09",180.0,Sanjai Gangwar,16-Mar-2026 01:43 PM,FR136.pdf (484.00 KB),AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5956204,M/s Pratap Singh Contractor,08-Mar-2026 09:48 AM,Rejected-AOC,OK,16-Mar-2026 01:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5955943,M/s R.S. CONTRACTOR,07-Mar-2026 08:05 PM,Accepted-AOC,OK,16-Mar-2026 01:44 PM,,,,,,,AOC
