Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"Const. Of C. C Road and Drain from Primary/Junior school To H/o Santosh Katheria in village Kachhapura(G.P. Kacchpura),Block Jagir Mainpuri.","Const. Of C. C Road and Drain from Primary/Junior school To H/o Santosh Katheria in village Kachhapura(G.P. Kacchpura),Block Jagir Mainpuri.",Please refer Tender documents. ,NA ,"11,38,960",Civil Works - Roads,NA ,Tender,90.0,90.0,MAINPURI,205001.0,NA ,NA ,NA ,E.E.RED MAINPURI,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2341/EE/RED/07-02-2026,2026_REDUP_1118176_7,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,"23,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,E.E.RED MAINPURI,E.E.RED MAINPURI,766.0,Nil,Nil,No,21-Feb-2026 12:00 PM,07-Mar-2026 12:30 PM,21-Feb-2026 12:00 PM,07-Mar-2026 12:00 PM,NA ,NA ,21-Feb-2026 12:00 PM,07-Mar-2026 12:00 PM,11-Mar-2026 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Technical bid,AOC,E.E. NUZHAT PARVEEN,Internal,"A.E.RED, D.A.O.RED",Nuzahat Parveen,11-Mar-2026 04:14 PM,finsummary_2079811.pdf (293.11 KB),Technical,ALL BIDS ADMITTED,Nuzahat Parveen,07-Mar-2026 01:57 PM,,E.E.Nuzhat Parveen,Internal,"A.E.RED, D.A.O.RED",Nuzahat Parveen,09-Mar-2026 10:49 AM,11-Mar-2026 10:00 AM,techsummary_2079811.pdf (294.14 KB),Finance,all bids admitted,Nuzahat Parveen,11-Mar-2026 03:18 PM,,BOQ Comparative Chart,1,5924623,MITHALESH CONTRACTOR,05-Mar-2026 11:24 AM,Accepted-AOC,L-1,18-Mar-2026 04:51 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1118176_7,2341/EE/RED/07-02-2026,"Const. Of C. C Road and Drain from Primary/Junior school To H/o Santosh Katheria in village Kachhapura(G.P. Kacchpura),Block Jagir Mainpuri.",1.0,5924623.0,MITHALESH CONTRACTOR,INR,"1,137,252",16-Mar-2026,"INR 1,137,252",90.0,Nuzahat Parveen,18-Mar-2026 04:51 PM,01_0001.pdf (228.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5948555,M/s HUKAM SHREE CONTRACTOR,05-Mar-2026 04:14 PM,Rejected-Finance,L-2,11-Mar-2026 04:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5924688,M/s SHRI GANESH CONSTRUCTION AND SUPPLIERS,05-Mar-2026 11:51 AM,Rejected-Finance,L-3,11-Mar-2026 04:14 PM,,,,,,,,,,,,,,,,AOC
