S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,REVOKE NIT07/SE/MRT2025-26(LOT02),REVOKE NIT07/SE/MRT2025-26(LOT02),25-Mar-2026 04:27 PM,CORRNIT07LOTREVOKE.pdf ,794.39,Technical Opening,28-Mar-2026,"INR 19,986,970",90.0,ANURAG AGRAWAL,30-Mar-2026 07:42 PM,AOCNIT07LOT02.pdf (330.00 KB),Award Of Contract,1,6001794,CHANDRA PAL SINGH,24-Mar-2026 11:57 AM,Rejected-AOC,L4,30-Mar-2026 07:42 PM,1.0,5996443.0,MOHAMMAD AWAIS,INR,"19,986,970","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut",2026_UPIDC_1122103_4,07/SE/MRT/2025-26,07/SE/MRT/2025-26(LOT02),Finance,L1 MOHAMMAD AWAIS L2 M/S SATT SAHIB CONSTRUCTION CO L3 gopi constech pvt. ltd. L4 M/S SATT SAHIB CONSTRUCTION CO,ANURAG AGRAWAL,27-Mar-2026 12:21 PM,finance_2101980.pdf,BOQ Comparative Chart,Anurag Agarwal,Internal,Nand Ji Gupta,ANURAG AGRAWAL,26-Mar-2026 03:12 PM,26-Mar-2026 03:15 PM,techsummary_2101980.pdf (201.09 KB),Technical,Total Bid 05 Accepted Bid 04 Rejected Bid 01,ANURAG AGRAWAL,26-Mar-2026 02:54 PM,technical_2101980.pdf,Anurag Agarwal,Internal,Nand Ji Gupta,ANURAG AGRAWAL,27-Mar-2026 12:27 PM,finsummary_2101980.pdf (1288.16 KB),AOC,"2,354",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut",07/SE/MRT/2025-26,2026_UPIDC_1122103_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"6,82,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,07/SE/MRT/2025-26(LOT02),07/SE/MRT/2025-26(LOT02),Please refer Tender documents. ,NA ,"3,41,00,000",Civil Works,NA ,Tender,90.0,90.0,BIJNOR,246701.0,NA ,NA ,NA ,MEERUT,No ,No,18-Mar-2026 04:00 PM,24-Mar-2026 01:00 PM,18-Mar-2026 04:00 PM,24-Mar-2026 12:00 PM,NA ,NA ,18-Mar-2026 04:00 PM,24-Mar-2026 12:00 PM,26-Mar-2026 03:15 PM,"SE MGCCC-1, MEERUT","OFFICE OF SE MGCCC-1, MEERUT",AOC
,,,,,,,,,,,,,,2,5996504,gopi constech pvt. ltd.,23-Mar-2026 08:53 PM,Rejected-AOC,L3,30-Mar-2026 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,3,5996443,MOHAMMAD AWAIS,24-Mar-2026 11:55 AM,Accepted-AOC,L1,30-Mar-2026 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,4,6002003,M/S SATT SAHIB CONSTRUCTION CO,24-Mar-2026 11:32 AM,Rejected-AOC,L2,30-Mar-2026 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,5,5993017,MUKESH KUMAR SHARMA,23-Mar-2026 01:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Mar-2026 02:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
