EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"3,30,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut",15/SE-1/2025-26,2026_UPIDC_1120980_1,Yes,Open Tender,Piece-work,Works,2.0,No,No,Online,No,No,No,SE 1st IWC Meerut,SE Office 1st IWC Meerut,"2,354",Nil,Nil,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Tender Documents,LOT1,As per the NIT,Please refer Tender documents. ,NA ,"1,66,46,000",Civil Works,NA ,Tender,90.0,20.0,Meerut,250001.0,SE Office 1st IWC Meerut ,SE Office 1st IWC Meerut ,06-Mar-2026 01:00 PM ,SE Office 1st IWC Meerut,No ,No,28-Feb-2026 09:00 AM,07-Mar-2026 05:30 PM,28-Feb-2026 09:00 AM,07-Mar-2026 05:00 PM,NA ,NA ,28-Feb-2026 09:00 AM,07-Mar-2026 05:00 PM,09-Mar-2026 10:00 AM,AOC,Finance,L1,ramesh chandra,19-Mar-2026 10:08 PM,finance_2085345.pdf,BOQ Comparative Chart,Mr. Ramesh Chandra,Internal,Mr. Bhartendu Gaur,ramesh chandra,08-Mar-2026 07:41 PM,09-Mar-2026 10:00 AM,techsummary_2085345.pdf (1032.16 KB),Technical,02 bidder admitted,ramesh chandra,08-Mar-2026 07:38 PM,technical_2085345.pdf,Mr. Ramesh Chandra,Internal,Mr. Bhartendu Gaur,ramesh chandra,19-Mar-2026 10:11 PM,finsummary_2085345.pdf (635.45 KB),19-Mar-2026,"INR 11,439,980",20.0,ramesh chandra,19-Mar-2026 10:13 PM,AOC.pdf (374.00 KB),OAC,1,5952707,M/S CHAUDHARY ENTERPRISES,06-Mar-2026 11:41 PM,Accepted-AOC,L1,19-Mar-2026 10:13 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||I- Circle Irrigation Works, Meerut",2026_UPIDC_1120980_1,15/SE-1/2025-26,LOT1,1.0,5952707.0,M/S CHAUDHARY ENTERPRISES,INR,"11,439,980",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5955489,SIDDHARTHALAXMI ENGITECH PVT LTD,07-Mar-2026 02:50 PM,Rejected-Finance,L2,19-Mar-2026 10:11 PM,,,,,,,,,,AOC
