S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,"General Manager, Zone-5","General Manager, Zone-5, U.P. Projects Corporation Ltd. Gomti Barrage, Left Bank, Gomti Nagar, Lucknow",Construction of damaged road in campus of Government Medical College Orai District Jalaun (U.P.),Construction of damaged road in campus of Government Medical College Orai District Jalaun (U.P.),Construction of damaged road in campus of Government Medical College Orai District Jalaun (U.P.) ,NA ,"2,43,68,000",Civil Works - Roads,NA ,Tender,90.0,120.0,District Jalaun (U.P.),285123.0,NA ,NA ,NA ,"General Manager, Zone-5",No ,No,"4,88,000",No,fixed,,Nil,Nil,10-Feb-2026 05:00 PM,21-Feb-2026 04:00 PM,10-Feb-2026 05:00 PM,21-Feb-2026 03:00 PM,NA ,NA ,10-Feb-2026 05:00 PM,21-Feb-2026 03:00 PM,09-Mar-2026 09:00 AM,"17,700",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow,49/UPPCL/GM-5/E-TENDER/2025-26,2026_UPPRC_1114318_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,AOC,"General Manager,Zone-5",Internal,"General Manager,Zone-2,Project Manager,Unit-12,Accountant,Unit-12",SURESH CHANDRA YADAV,28-Mar-2026 04:53 PM,finsummary_2066213.pdf (989.29 KB),Technical,Summary_1114318_1,SURESH CHANDRA YADAV,07-Mar-2026 05:00 PM,technical_2066213.pdf,"General Manager,Zone-5",Internal,"General Manager,Zone-2,Project Manager,Unit-12,Accountant,Unit-12",SURESH CHANDRA YADAV,07-Mar-2026 05:27 PM,09-Mar-2026 09:00 AM,techsummary_2066213.pdf (989.29 KB),Finance,Summary_1114318_1,SURESH CHANDRA YADAV,28-Mar-2026 04:48 PM,,BOQ Comparative Chart,1,5896644,M/s. Salil Chopra,20-Feb-2026 10:29 AM,Rejected-AOC,Qualified,28-Mar-2026 04:58 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow,2026_UPPRC_1114318_1,49/UPPCL/GM-5/E-TENDER/2025-26,Construction of damaged road in campus of Government Medical College Orai District Jalaun (U.P.),1.0,5902847.0,M/S SHRI KASHI CONTRACTORS,INR,"24,222,627.89",29-Mar-2026,"INR 24,222,627.89",120.0,SURESH CHANDRA YADAV,28-Mar-2026 04:58 PM,AOC.pdf (701.00 KB),Agreement No.71/GM-5/UPPCL/2025-26/Dated 24/03/2026 and Issue of Notice to proceed with the work Letter No. 1164 /PCL/GM/Zone-5/Agreement No.-71 Date 24/03/2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5902847,M/S SHRI KASHI CONTRACTORS,20-Feb-2026 04:49 PM,Accepted-AOC,Qualified,28-Mar-2026 04:58 PM,,,,,,,,,,,,,,,,,AOC
