Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-6, nazibabad",07/EE/2025-26,2026_UPIDC_1117767_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,19-Feb-2026 09:00 AM,25-Feb-2026 02:00 PM,19-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,19-Feb-2026 10:00 AM ,25-Feb-2026 12:00 PM ,19-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,03-Mar-2026 04:50 PM,1,Fee/PreQual/Technical,.pdf,NIT,"12,000",No,fixed,,Nil,Nil,266.0,Nil,Nil,No,Executive Engineer,EGCCD6 Najibabad,Construction of V.R.B. at Km. 0.520 of Shabaazpur Minor.,Construction of V.R.B. at Km. 0.520 of Shabaazpur Minor.,Please refer tender documents ,NA ,"5,55,000",Civil Works - Canal,NA ,Tender,90.0,21.0,Najibabad,246763.0,NA ,NA ,NA ,Najibabad,No ,No,1.0,SBI Bank,AOC,Er. Trilok Chand,Internal,EE EGCCD 2 Haridwar,Trilok Chand,09-Mar-2026 04:32 PM,finsummary_2077201.pdf (336.08 KB),Technical,02 bidders admitted,Trilok Chand,28-Feb-2026 06:48 PM,,Er. Trilok Chand,Internal,EE EGCCD 2 Haridwar,Trilok Chand,28-Feb-2026 07:13 PM,03-Mar-2026 04:50 PM,techsummary_2077201.pdf (336.08 KB),Finance,02 bidders admitted,Trilok Chand,05-Mar-2026 03:33 PM,,BOQ Comparative Chart,1,5926824,M/S AJAYPAL SINGH CONTRACTOR,24-Feb-2026 11:30 PM,Accepted-AOC,Lowest I,09-Mar-2026 04:35 PM,1.0,5926824.0,M/S AJAYPAL SINGH CONTRACTOR,INR,"442,791.16","U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-6, nazibabad",2026_UPIDC_1117767_4,07/EE/2025-26,Construction of V.R.B. at Km. 0.520 of Shabaazpur Minor.,09-Mar-2026,"INR 442,791.16",21.0,Trilok Chand,09-Mar-2026 04:35 PM,4.pdf (336.00 KB),DOS 06.03.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5927644,VISHALA CIVIL CONTRACTORS AND MAINTENANCE,25-Feb-2026 10:25 AM,Rejected-Finance,Lowest II,09-Mar-2026 04:32 PM,,,,,,,,,,,,,,,,,AOC
