Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-6, nazibabad",07/EE/2025-26,2026_UPIDC_1117767_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Construction of V.R.B. at Km. 2.000 of Shabaazpur Minor.,Construction of V.R.B. at Km. 2.000 of Shabaazpur Minor.,Please refer tender documents ,NA ,"5,40,000",Civil Works - Canal,NA ,Tender,90.0,21.0,Najibabad,246763.0,NA ,NA ,NA ,Najibabad,No ,No,19-Feb-2026 09:00 AM,25-Feb-2026 02:00 PM,19-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,19-Feb-2026 10:00 AM ,25-Feb-2026 12:00 PM ,19-Feb-2026 10:00 AM,25-Feb-2026 12:00 PM,03-Mar-2026 04:50 PM,Executive Engineer,EGCCD6 Najibabad,266.0,Nil,Nil,No,"11,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,NIT,AOC,Er. Trilok Chand,Internal,EE EGCCD 2 Haridwar,Trilok Chand,09-Mar-2026 12:22 PM,finsummary_2077216.pdf (336.08 KB),Technical,02 bidders admitted,Trilok Chand,28-Feb-2026 06:50 PM,,Er. Trilok Chand,Internal,EE EGCCD2 Haridwar,Trilok Chand,28-Feb-2026 07:15 PM,03-Mar-2026 04:50 PM,techsummary_2077216.pdf (336.08 KB),Finance,02 bidders admitted,Trilok Chand,05-Mar-2026 03:29 PM,,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-6, nazibabad",2026_UPIDC_1117767_5,07/EE/2025-26,Construction of V.R.B. at Km. 2.000 of Shabaazpur Minor.,1.0,5923849.0,M/S AJAYPAL SINGH CONTRACTOR,INR,"432,825.38",1,5923849,M/S AJAYPAL SINGH CONTRACTOR,24-Feb-2026 12:22 PM,Accepted-AOC,Lowest I,09-Mar-2026 04:42 PM,09-Mar-2026,"INR 432,825.38",21.0,Trilok Chand,09-Mar-2026 04:42 PM,5.pdf (339.00 KB),DOS 06.03.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5927652,VISHALA CIVIL CONTRACTORS AND MAINTENANCE,25-Feb-2026 10:26 AM,Rejected-Finance,Lowest II,09-Mar-2026 04:40 PM,,,,,,,,AOC
