Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1123763_1,1184-3/E.E. BLY/E-Tender/BLY/2025-26 Dt. 11.03.2026,Construction work of Maharana Pratap ji Memory Gates at Vill. Prathvipur in Chauraha near Beejamau Raod (Vidhayak Nidhi),1.0,5972851.0,M/S MAHAVEER CONSTRUCTION AND GENERAL ORDER SUPPLIERS,INR,"932,263.24",1,5972851,M/S MAHAVEER CONSTRUCTION AND GENERAL ORDER SUPPLIERS,16-Mar-2026 12:20 AM,Accepted-AOC,Ist Lowest Rate,19-Mar-2026 06:18 PM,19-Mar-2026,"INR 932,263.24",60.0,Charan Singh Arya,19-Mar-2026 06:17 PM,LOI3.pdf (803.00 KB),Total Contract Value Rs. 932263.24,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,19-Mar-2026 02:41 PM,finsummary_2093829.pdf (796.82 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,19-Mar-2026 01:16 PM,technical_2093829.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,19-Mar-2026 01:22 PM,19-Mar-2026 01:25 PM,techsummary_2093829.pdf (267.55 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,19-Mar-2026 02:32 PM,finance_2093829.pdf,BOQ Comparative Chart,AOC,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,1184-3/E.E. BLY/E-Tender/BLY/2025-26 Dt. 11.03.2026,2026_SCIDC_1123763_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"18,700",No,fixed,,EE UPSCIDCO,BAREILLY,11-Mar-2026 02:00 PM,18-Mar-2026 02:00 PM,11-Mar-2026 02:00 PM,18-Mar-2026 01:00 PM,NA ,NA ,11-Mar-2026 02:00 PM,18-Mar-2026 01:00 PM,19-Mar-2026 01:25 PM,"1,062",EE UPSCIDCO,BAREILLY,No,1.0,RTGS - RTGS Payment,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",Construction work of Maharana Pratap ji Memory Gates at Vill. Prathvipur in Chauraha near Beejamau Raod (Vidhayak Nidhi),Construction work of Maharana Pratap ji Memory Gates at Vill. Prathvipur in Chauraha near Beejamau Raod (Vidhayak Nidhi),Construction work of Maharana Pratap ji Memory Gates at Vill. Prathvipur in Chauraha near Beejamau Raod (Vidhayak Nidhi) ,NA ,"9,32,543",Civil Works - Others,Const. work of Maharana Pratap ji Memory Gate ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ",AOC
,,,,,,,,,2,5972520,Syed Construction,14-Mar-2026 03:39 PM,Rejected-AOC,IInd Lowest Rate,19-Mar-2026 06:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,AOC
