Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Mahoba",06/SE/2025-26,2026_UPIDC_1111685_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"7,05,000",No,fixed,,Nil,Nil,"6,873",Nil,Nil,No,SE ICC MAHOBA,SE ICC BAZARIYA MAHOBA,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,03-Feb-2026 11:00 AM,10-Feb-2026 03:30 PM,03-Feb-2026 11:00 AM,10-Feb-2026 03:00 PM,NA ,NA ,03-Feb-2026 11:00 AM,10-Feb-2026 03:00 PM,27-Feb-2026 01:30 PM,1.0,SBI Bank,"Construction of Bituminous Painted Road at Dam Top, Parapet, Chute drain Between Chainage K.M. 0.000 to 1.830 at Kabrai Dam.(Lot-2)","Construction of Bituminous Painted Road at Dam Top, Parapet, Chute drain Between Chainage K.M. 0.000 to 1.830 at Kabrai Dam.(Lot-2)",as per tender document and nit ,NA ,,Civil Works,NA ,Tender,90.0,240.0,MAHOBA,210427.0,NA ,NA ,NA ,OFFICE OF THE SE ICC MAHOBA,No ,No,AOC,Finance,All bidders BOQ are received and accepted in 1st stage. Financial Evaluation is under process.,CHANDRASHEKHER MANGLAM,27-Feb-2026 04:21 PM,,BOQ Comparative Chart,SE ICC MAHOBA,Internal,SE ICC JHANSI AND EE MDCD 1 MAHOBA,CHANDRASHEKHER MANGLAM,25-Feb-2026 01:30 PM,27-Feb-2026 01:30 PM,techsummary_2054730.pdf (567.48 KB),Technical,All bids are accepted in 1st stage. Technical Evaluation is under process.,CHANDRASHEKHER MANGLAM,10-Feb-2026 03:59 PM,,SE ICC MAHOBA,Internal,SE ICC JHANSI AND EE MDCD 1 MAHOBA,CHANDRASHEKHER MANGLAM,06-Mar-2026 07:16 PM,finsummary_2054730.pdf (622.95 KB),13-Mar-2026,"INR 27,968,692.58",240.0,CHANDRASHEKHER MANGLAM,31-Mar-2026 02:20 PM,NIT06L2.pdf (673.00 KB),FIRST LOWEST,1.0,5858972.0,M/S DHARMSHEELA CONSTRUCTION,INR,"27,968,692.58","U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Mahoba",2026_UPIDC_1111685_2,06/SE/2025-26,"Construction of Bituminous Painted Road at Dam Top, Parapet, Chute drain Between Chainage K.M. 0.000 to 1.830 at Kabrai Dam.(Lot-2)",1,5858972,M/S DHARMSHEELA CONSTRUCTION,10-Feb-2026 01:49 PM,Accepted-AOC,FIRST LOWEST,31-Mar-2026 02:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5851525,M/S SURESH CHANDRA GUPTA,10-Feb-2026 02:18 PM,Rejected-Finance,L3,06-Mar-2026 07:16 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5858801,M/s Trivedi Associates,10-Feb-2026 11:04 AM,Rejected-Finance,L4,06-Mar-2026 07:16 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5858592,M/S VIVEK KUMAR SINGH,10-Feb-2026 02:30 PM,Rejected-Finance,L2,06-Mar-2026 07:16 PM,AOC
