Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage
"Office of The Director Ground Water Department||Superintending Engineer Bareilly||Sr. Hydrogeologist, GWD Dn-Bareilly (Hydrological)",2026_UPGWD_1106526_1,10/UPATALRWH/BEM/ 2025-26,Installation Construction of Roof Top Rain Water Harvesting Structures at Various Notifed Block Kasturba Gandhi Avasiya Balika Vidyalaya Ambiapur Nehru Inter College Islamnagar Janta Inter College Bisauli Triveni Sahai Inter College Asafpur,1.0,5817590.0,VRIDHHI ENTERPRISES,INR,"2,934,737",1,5817634,JINDAL ASSOCIATES,22-Jan-2026 04:46 PM,Rejected-AOC,REJECTED L3,31-Mar-2026 10:18 AM,10-Feb-2026,"INR 2,934,737",45.0,Saurabh Sah,31-Mar-2026 10:17 AM,Form1211UPATALRWHBEM.pdf (1162.00 KB),Installation Construction of Roof Top Rain Water Harvesting Structures at Various Notifed Block Kasturba Gandhi Avasiya Balika Vidyalaya Ambiapur Nehru Inter College Islamnagar Janta Inter College Bis,SAURABH SAH,Internal,GYANDEEP JA VIVEKUMAR JE ASHISHKUMARGUPTA AG GANESHSINGH EE,Saurabh Sah,25-Jan-2026 10:46 PM,finsummary_2041589.pdf (1037.14 KB),Technical,A total of three technical bids received were opened online on the scheduled date and time Submit For Technical Evalutaion,Saurabh Sah,23-Jan-2026 01:37 PM,technical_2041589.pdf,SAURABH SAH,Internal,JUNIORASISTANTJUNIORENGINEERASSISTANTGEOPHYSICISTSENIORHYDROGEOLOGIST,Saurabh Sah,23-Jan-2026 01:54 PM,23-Jan-2026 02:10 PM,techsummary_2041589.pdf (1005.24 KB),Finance,Financial bids were evaluated and comparative statement was prepared as per tender conditions,Saurabh Sah,23-Jan-2026 05:56 PM,finance_2041589.pdf,BOQ Comparative Chart,AOC,"2,354",Nil,Nil,No,Installation Construction of Roof Top Rain Water Harvesting Structures at Various Notifed Block Kasturba Gandhi Avasiya Balika Vidyalaya Ambiapur Nehru Inter College Islamnagar Janta Inter College Bisauli Triveni Sahai Inter College Asafpur,Installation Construction of Roof Top Rain Water Harvesting Structures at Various Notifed Block Kasturba Gandhi Avasiya Balika Vidyalaya Ambiapur Nehru Inter College Islamnagar Janta Inter College Bisauli Triveni Sahai Inter College Asafpur,NIT DOCUMENTS TENDER DOCUMENTS BOQ ,Roof Top Rain Water Harvesting Structures ,,Civil Works - Others,NA ,Tender,90.0,45.0,BAREILLY,243001.0,NA ,NA ,NA ,BAREILLY,No ,No,"Office of The Director Ground Water Department||Superintending Engineer Bareilly||Sr. Hydrogeologist, GWD Dn-Bareilly (Hydrological)",10/UPATALRWH/BEM/ 2025-26,2026_UPGWD_1106526_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,FEE DOCUMENTS,"51,000",No,fixed,,Nil,Nil,16-Jan-2026 04:00 PM,23-Jan-2026 11:30 AM,16-Jan-2026 04:05 PM,23-Jan-2026 11:00 AM,NA ,NA ,16-Jan-2026 04:05 PM,23-Jan-2026 11:00 AM,23-Jan-2026 02:10 PM,SENIOR HYDROGEOLOGIST,35 C 7 SECOND FLOOR RAMPUR GARDEN BAREILLY,1.0,SBI Bank,AOC
,,,,,,,,,2,5818514,SHEELA ENTERPRISES,22-Jan-2026 06:52 AM,Rejected-AOC,REJECTED L2,31-Mar-2026 10:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5817590,VRIDHHI ENTERPRISES,22-Jan-2026 04:42 PM,Accepted-AOC,ACCEPTED L1,31-Mar-2026 10:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ DOCUMENTS,,,,,,,,,,,,,,,,,,,,AOC
