Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
09-Mar-2026 06:55 PM,16-Mar-2026 02:00 PM,09-Mar-2026 06:55 PM,16-Mar-2026 01:00 PM,NA ,NA ,09-Mar-2026 06:55 PM,16-Mar-2026 01:00 PM,18-Mar-2026 04:00 PM,"Electrification work of ST, SC Hostel Nekpur, Badaun","Electrification work of ST, SC Hostel Nekpur, Badaun","Electrification work of ST, SC Hostel Nekpur, Badaun ",NA ,"8,91,972",Electrical Works,"Electrification work of ST, SC Hostel Nekpur, BDN ",Tender,90.0,90.0,Badaun,243601.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,"17,900",No,fixed,,EE UPSCIDCO,BADAUN,1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ",U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Bareilly,289-2/E.E.E. Bly/E-Tender/BDN/2025-26 Dt. 10.02.2026,2026_SCIDC_1114539_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,062",EE UPSCIDCO,BADAUN,No,Executive Engineer (Elect.) Officer,"UPSCIDC Ltd. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",AOC,Finance,Financial Bid Opening Summary,Harindra Kumar,20-Mar-2026 11:17 AM,finance_2091892.pdf,BOQ Comparative Chart,Muniveer Singh,Internal,"Muniveer Singh, Harindra Kumar, Bhaskar Mishra",Harindra Kumar,18-Mar-2026 03:57 PM,18-Mar-2026 04:00 PM,techsummary_2091892.pdf (782.73 KB),Technical,Technical Bid Opening Summary,Harindra Kumar,18-Mar-2026 03:17 PM,technical_2091892.pdf,Muniveer Singh,Internal,"Muniveer Singh, Harindra Kumar, Bhaskar Mishra",Harindra Kumar,20-Mar-2026 11:34 AM,finsummary_2091892.pdf (737.31 KB),20-Mar-2026,"INR 890,634.04",90.0,Harindra Kumar,23-Mar-2026 06:18 PM,LOI2.pdf (583.00 KB),Total Contract Value Rs. 890634.04,1.0,5976812.0,A.V.M. ELECTRICALS,16-Mar-2026 09:34 AM,Accepted-AOC,Ist Lowest Rate,23-Mar-2026 06:18 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Bareilly,2026_SCIDC_1114539_3,289-2/E.E.E. Bly/E-Tender/BDN/2025-26 Dt. 10.02.2026,"Electrification work of ST, SC Hostel Nekpur, Badaun",1.0,5976812.0,A.V.M. ELECTRICALS,INR,"890,634.04",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
