S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5917235.0,M/S MAHAVEER ENGINEERS,INR,"1,991,008.791",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,2026_UPPRC_1115502_1,20/PCL/PM/Unit-36/Noida/25-26 Dt 11.02.26,Construction work of Toilet Block and Drinking Water Facility at Govt. High School Mataur District Ghaziabad,1,5925609,M/s Akshay Constructions,25-Feb-2026 12:13 PM,Rejected-AOC,Third Lowest,24-Mar-2026 04:05 PM,17-Mar-2026,"INR 1,991,008.791",180.0,JALAJ KUMAR SHARMA,24-Mar-2026 04:03 PM,Mataur.pdf (938.00 KB),"Rs. 23,49,389.00 including GST","Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,06-Mar-2026 06:47 PM,07-Mar-2026 03:00 PM,techsummary_2069795.pdf (387.54 KB),Finance,Technically Qualified bidders bids opened. Out of them M/s MAHAVEER ENGINEERS Bid is First Lowest of amount Rupees 1991008.791,JALAJ KUMAR SHARMA,14-Mar-2026 05:45 PM,finance_2069795.pdf,BOQ Comparative Chart,"Project Manager, Unit-36 Noida",Internal,"Project Manager, Unit-26 Saharanpur Accountant Unit 36 Noida",JALAJ KUMAR SHARMA,14-Mar-2026 05:48 PM,finsummary_2069795.pdf (387.53 KB),Technical,Three Bids are received. All are found Technically qualified,JALAJ KUMAR SHARMA,06-Mar-2026 06:44 PM,technical_2069795.pdf,AOC,Construction work of Toilet Block and Drinking Water Facility at Govt. High School Mataur District Ghaziabad,Construction work of Toilet Block and Drinking Water Facility at Govt. High School Mataur District Ghaziabad,Please refer Tender documents. ,NA ,"23,85,000",Civil Works,NA ,Tender,90.0,180.0,Govt. High School Mataur District Ghaziabad,201205.0,NA ,NA ,NA ,"K-2, Sector-116, Noida Gautambudha Nagar",No ,No,"48,000",No,fixed,,Nil,Nil,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-36 Noida,20/PCL/PM/Unit-36/Noida/25-26 Dt 11.02.26,2026_UPPRC_1115502_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"5,900",Nil,Nil,No,"Project Manager, UP Projects Corporation Ltd","K-2, Sector-116, Noida Gautambudha Nagar",1.0,SBI Bank,12-Feb-2026 06:00 PM,25-Feb-2026 03:00 PM,12-Feb-2026 06:00 PM,25-Feb-2026 02:00 PM,NA ,NA ,12-Feb-2026 06:00 PM,25-Feb-2026 02:00 PM,07-Mar-2026 03:00 PM,AOC
,,,,,,,,,2,5917235,M/S MAHAVEER ENGINEERS,24-Feb-2026 07:06 PM,Accepted-AOC,First Lowest,24-Mar-2026 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5929010,M/S YOGESH KUMAR SHARMA,25-Feb-2026 12:32 PM,Rejected-AOC,Second Lowest,24-Mar-2026 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
