Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
17-Mar-2026,"INR 4,975,803.16",180.0,RAJIV KUMAR PANDEY,21-Mar-2026 03:39 PM,AOC.pdf (44.00 KB),Work Awarded to M/s Abhinav Construction,1,5848235,ABHINAV CONSTRUCTION,06-Feb-2026 09:10 PM,Accepted-AOC,L1,21-Mar-2026 03:39 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2026_UPPRC_1107549_6,32/GM-4/UPPCL/2025-26 Dated 14-01-2026,TOURISM DEVELOPMENT WORK OF HANUMAN MANDIR RUCHAN IN DISTRICT FIROZABAD (UP),1.0,5848235.0,ABHINAV CONSTRUCTION,INR,"4,975,803.16",Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,16-Feb-2026 08:20 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh, Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,12-Feb-2026 06:41 PM,13-Feb-2026 01:00 PM,techsummary_2057687.pdf (4242.45 KB),Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,10-Feb-2026 06:15 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,16-Feb-2026 08:32 PM,finsummary_2057687.pdf (75.46 KB),AOC,04-Feb-2026 06:55 PM,10-Feb-2026 03:00 PM,04-Feb-2026 06:55 PM,10-Feb-2026 02:00 PM,NA ,NA ,04-Feb-2026 06:55 PM,10-Feb-2026 02:00 PM,13-Feb-2026 01:00 PM,TOURISM DEVELOPMENT WORK OF HANUMAN MANDIR RUCHAN IN DISTRICT FIROZABAD (UP),TOURISM DEVELOPMENT WORK OF HANUMAN MANDIR RUCHAN IN DISTRICT FIROZABAD (UP),Please refer Tender documents. ,NA ,"50,17,448",Miscellaneous Works,NA ,Tender,90.0,180.0,Ruchan Distt. Firozabad,283203.0,NA ,NA ,NA ,Office of General Manager (Zone-4) Agra,No ,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,"1,01,000",No,fixed,,Nil,Nil,1.0,SBI Bank,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra","11,800",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,32/GM-4/UPPCL/2025-26 Dated 14-01-2026,2026_UPPRC_1107549_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,2,5845591,M/s MANOJ KUMAR CONTRACTOR,06-Feb-2026 11:39 AM,Rejected-Finance,Being First Lowest,16-Feb-2026 08:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
