Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,Fee/PreQual/Technical,.pdf,NIT,Construction of CC Road work at Gram Ghurapali Mohiya Pul Marg Par Petrol Pamp Se Pachanauri Chauraha Tak Block Mehadawal Distt. Sant Kabir Nagar. ( Purvanchal Nidhi Mehadawal),Construction of CC Road work at Gram Ghurapali Mohiya Pul Marg Par Petrol Pamp Se Pachanauri Chauraha Tak Block Mehadawal Distt. Sant Kabir Nagar. ( Purvanchal Nidhi Mehadawal),As Given in NIT ,NA ,"28,98,818",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",21-Feb-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,17-Feb-2026 09:00 AM,25-Feb-2026 06:00 PM,17-Feb-2026 09:00 AM,25-Feb-2026 05:00 PM,17-Feb-2026 09:00 AM ,25-Feb-2026 05:00 PM ,17-Feb-2026 09:00 AM,25-Feb-2026 05:00 PM,18-Mar-2026 06:20 PM,1,FDR - Fixed Deposit,"1,652",UPSCIDCO,Santkabir Nagar,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2237/EE SKN /E-Tender /Purvanchal Nidhi Mehdawal SKN /2025-26 Dated 16-02-2026,2026_SCIDC_1116924_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti","58,000",No,fixed,,UPSCIDCO,Santkabir nagar,1.0,Date Exeended,Date,,AOC,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,20-Mar-2026 11:57 AM,finsummary_2074627.pdf (541.20 KB),Technical,M/s KANCHAN ENTERPRISES and M/s AJAY KUMAR SAHI Found,Ramesh Bahadur Shahi,18-Mar-2026 06:02 PM,technical_2074627.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,18-Mar-2026 06:04 PM,18-Mar-2026 06:20 PM,techsummary_2074627.pdf (440.35 KB),Finance,M/s KANCHAN ENTERPRISES Found L1,Ramesh Bahadur Shahi,20-Mar-2026 11:55 AM,finance_2074627.pdf,BOQ Comparative Chart,1,5929902,KANCHAN ENTERPRISES,25-Feb-2026 04:49 PM,Accepted-AOC,L1,24-Mar-2026 10:50 AM,1.0,5929902.0,KANCHAN ENTERPRISES,INR,"2,895,919",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1116924_1,2237/EE SKN /E-Tender /Purvanchal Nidhi Mehdawal SKN /2025-26 Dated 16-02-2026,Construction of CC Road work at Gram Ghurapali Mohiya Pul Marg Par Petrol Pamp Se Pachanauri Chauraha Tak Block Mehadawal Distt. Sant Kabir Nagar. ( Purvanchal Nidhi Mehadawal),24-Mar-2026,"INR 2,895,919",90.0,Ramesh Bahadur Shahi,24-Mar-2026 10:50 AM,GurapaliprtoralLOI.pdf (1137.00 KB),Kanchan Enterprises Found L1,AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5929994,M/s AJAY KUMAR SAHI,25-Feb-2026 04:40 PM,Rejected-Finance,L2,20-Mar-2026 11:57 AM,,,,,,,,,,,,,,,,,AOC
