S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DATE Corrigendum,Date,,"8,850",Nil,Nil,No,"12,10,000",No,fixed,,Nil,Nil,1.0,SBI Bank,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"4494/PAN/ET/25-26, DT. 14-01-2026",2026_UPPAN_1106449_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,15-Jan-2026 09:00 AM,05-Feb-2026 11:30 AM,15-Jan-2026 09:00 AM,04-Feb-2026 05:00 PM,NA ,NA ,15-Jan-2026 09:00 AM,04-Feb-2026 05:00 PM,06-Feb-2026 05:00 PM,CONSTRUCTION OF NON RESIDENTAIL BUILDING FOR POLICE STATION RURA DISTT KANPUR DEHAT U.P.,CONSTRUCTION OF NON RESIDENTAIL BUILDING FOR POLICE STATION RURA DISTT KANPUR DEHAT U.P.,Please refer Tender documents. ,NA ,"6,05,28,000",Civil Works,NA ,Tender,90.0,540.0,POLICE STATION RURA DISTT KANPUR DEHAT U.P.,209303.0,NA ,NA ,NA ,U.P. Police Avas Nigam Ltd,No ,No,Sanjeev Saxena,U.P. Police Avas Nigam Ltd,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,AOC,SANJEEV SAXENA,Internal,PRASHANT TRIPATHI MANOJ KUMAR JOSHI,Sanjeev Saxena,05-Feb-2026 04:30 PM,06-Feb-2026 05:00 PM,techsummary_2041435.pdf (562.30 KB),Finance,ALL BIDDER ADMITTED,Sanjeev Saxena,12-Feb-2026 11:20 AM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,PRASHANT TRIPATHI MANOJ KUMAR JOSHI,Sanjeev Saxena,12-Feb-2026 11:23 AM,finsummary_2041435.pdf (585.89 KB),Technical,All bidder admitted,Sanjeev Saxena,05-Feb-2026 04:22 PM,,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2026_UPPAN_1106449_1,"4494/PAN/ET/25-26, DT. 14-01-2026",CONSTRUCTION OF NON RESIDENTAIL BUILDING FOR POLICE STATION RURA DISTT KANPUR DEHAT U.P.,1.0,5820369.0,Kgn Construction And Distribution,INR,"51,933,024",1,5820369,Kgn Construction And Distribution,04-Feb-2026 03:59 PM,Accepted-AOC,L1,19-Mar-2026 12:16 PM,19-Feb-2026,"INR 51,933,024",540.0,Sanjeev Saxena,19-Mar-2026 12:16 PM,BOQRURALOA.pdf (693.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5827594,SYMBIOSIS WATER TECH INDIA,29-Jan-2026 03:46 PM,Rejected-Finance,L2,12-Feb-2026 11:23 AM,,,,,,,,AOC
